Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,LobPine,0.6173422,1,0.6173422,8,False
1,LongleafPine,0.6173422,1,0.6173422,8,False
1,ShortPine,0.2442493,1,0.2442493,9,False
1,SlashPine,0.6173422,1,0.6173422,8,False
1,WhiteOak,0.6899811,1,0.6899811,9,False
1,TurkeyOak,0.5989159,1,0.5989159,9,False
1,SweetGum,0.5989159,1,0.5989159,9,False
1,RedMaple,0.791694,1,0.791694,9,False
1,TulipTree,0.5989159,1,0.5989159,9,False
2,LobPine,0.5970532,1,0.5970532,9,False
2,LongleafPine,0.5970532,1,0.5970532,9,False
2,ShortPine,0.2426881,1,0.2426881,9,False
2,SlashPine,0.5970532,1,0.5970532,9,False
2,WhiteOak,0.6708574,1,0.6708574,10,False
2,TurkeyOak,0.5970532,1,0.5970532,9,False
2,SweetGum,0.5970532,1,0.5970532,9,False
2,RedMaple,0.7903948,1,0.7903948,9,False
2,TulipTree,0.5970532,1,0.5970532,9,False
3,LobPine,0.5837242,1,0.5837242,9,False
3,LongleafPine,0.5837242,1,0.5837242,9,False
3,ShortPine,0.2317911,1,0.2317911,9,False
3,SlashPine,0.5837242,1,0.5837242,9,False
3,WhiteOak,0.675339,1,0.675339,9,False
3,TurkeyOak,0.5837242,1,0.5837242,9,False
3,SweetGum,0.5837242,1,0.5837242,9,False
3,RedMaple,0.7797862,1,0.7797862,9,False
3,TulipTree,0.5837242,1,0.5837242,9,False
4,LobPine,0.5896457,1,0.5896457,7,False
4,LongleafPine,0.5896457,1,0.5896457,7,False
4,ShortPine,0.2315513,1,0.2315513,7,False
4,SlashPine,0.5896457,1,0.5896457,7,False
4,WhiteOak,0.660738,1,0.660738,8,False
4,TurkeyOak,0.5896457,1,0.5896457,7,False
4,SweetGum,0.5896457,1,0.5896457,7,False
4,RedMaple,0.7863157,1,0.7863157,7,False
4,TulipTree,0.5896457,1,0.5896457,7,False
5,LobPine,0.610589,1,0.610589,7,False
5,LongleafPine,0.610589,1,0.610589,7,False
5,ShortPine,0.2548156,1,0.2548156,7,False
5,SlashPine,0.610589,1,0.610589,7,False
5,WhiteOak,0.6731905,1,0.6731905,8,False
5,TurkeyOak,0.610589,1,0.610589,7,False
5,SweetGum,0.610589,1,0.610589,7,False
5,RedMaple,0.8003407,1,0.8003407,7,False
5,TulipTree,0.610589,1,0.610589,7,False
6,LobPine,0.5604912,1,0.5604912,10,False
6,LongleafPine,0.5604912,1,0.5604912,10,False
6,ShortPine,0.2112863,1,0.2112863,10,False
6,SlashPine,0.5604912,1,0.5604912,10,False
6,WhiteOak,0.6534644,1,0.6534644,10,False
6,TurkeyOak,0.5604912,1,0.5604912,10,False
6,SweetGum,0.5604912,1,0.5604912,10,False
