Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,LobPine,0.6161975,1,0.6161975,8,False
1,LongleafPine,0.6161975,1,0.6161975,8,False
1,ShortPine,0.2429969,1,0.2429969,9,False
1,SlashPine,0.6161975,1,0.6161975,8,False
1,WhiteOak,0.6889989,1,0.6889989,9,False
1,TurkeyOak,0.597809,1,0.597809,9,False
1,SweetGum,0.597809,1,0.597809,9,False
1,RedMaple,0.7909592,1,0.7909592,9,False
1,TulipTree,0.597809,1,0.597809,9,False
2,LobPine,0.5948545,1,0.5948545,9,False
2,LongleafPine,0.5948545,1,0.5948545,9,False
2,ShortPine,0.2402621,1,0.2402621,9,False
2,SlashPine,0.5948545,1,0.5948545,9,False
2,WhiteOak,0.6689339,1,0.6689339,10,False
2,TurkeyOak,0.5948545,1,0.5948545,9,False
2,SweetGum,0.5948545,1,0.5948545,9,False
2,RedMaple,0.7889139,1,0.7889139,9,False
2,TulipTree,0.5948545,1,0.5948545,9,False
3,LobPine,0.5801322,1,0.5801322,9,False
3,LongleafPine,0.5801322,1,0.5801322,9,False
3,ShortPine,0.2279561,1,0.2279561,9,False
3,SlashPine,0.5801322,1,0.5801322,9,False
3,WhiteOak,0.6720927,1,0.6720927,9,False
3,TurkeyOak,0.5801322,1,0.5801322,9,False
3,SweetGum,0.5801322,1,0.5801322,9,False
3,RedMaple,0.777306,1,0.777306,9,False
3,TulipTree,0.5801322,1,0.5801322,9,False
4,LobPine,0.5841101,1,0.5841101,7,False
4,LongleafPine,0.5841101,1,0.5841101,7,False
4,ShortPine,0.2256032,1,0.2256032,7,False
4,SlashPine,0.5841101,1,0.5841101,7,False
4,WhiteOak,0.6560706,1,0.6560706,8,False
4,TurkeyOak,0.5841101,1,0.5841101,7,False
4,SweetGum,0.5841101,1,0.5841101,7,False
4,RedMaple,0.7825573,1,0.7825573,7,False
4,TulipTree,0.5841101,1,0.5841101,7,False
5,LobPine,0.6029772,1,0.6029772,7,False
5,LongleafPine,0.6029772,1,0.6029772,7,False
5,ShortPine,0.2461484,1,0.2461484,7,False
5,SlashPine,0.6029772,1,0.6029772,7,False
5,WhiteOak,0.6666273,1,0.6666273,8,False
5,TurkeyOak,0.6029772,1,0.6029772,7,False
5,SweetGum,0.6029772,1,0.6029772,7,False
5,RedMaple,0.79532,1,0.79532,7,False
5,TulipTree,0.6029772,1,0.6029772,7,False
6,LobPine,0.5499547,1,0.5499547,10,False
6,LongleafPine,0.5499547,1,0.5499547,10,False
6,ShortPine,0.2009094,1,0.2009094,10,False
6,SlashPine,0.5499547,1,0.5499547,10,False
6,WhiteOak,0.6437268,1,0.6437268,10,False
6,TurkeyOak,0.5499547,1,0.5499547,10,False
6,SweetGum,0.5499547,1,0.5499547,10,False
