Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,LobPine,0.620697,1,0.620697,8,False
1,LongleafPine,0.620697,1,0.620697,8,False
1,ShortPine,0.247798,1,0.247798,9,False
1,SlashPine,0.620697,1,0.620697,8,False
1,WhiteOak,0.6926391,1,0.6926391,9,False
1,TurkeyOak,0.6019436,1,0.6019436,9,False
1,SweetGum,0.6019436,1,0.6019436,9,False
1,RedMaple,0.7936602,1,0.7936602,9,False
1,TulipTree,0.6019436,1,0.6019436,9,False
2,LobPine,0.6011827,1,0.6011827,9,False
2,LongleafPine,0.6011827,1,0.6011827,9,False
2,ShortPine,0.2472865,1,0.2472865,9,False
2,SlashPine,0.6011827,1,0.6011827,9,False
2,WhiteOak,0.6742436,1,0.6742436,10,False
2,TurkeyOak,0.6011827,1,0.6011827,9,False
2,SweetGum,0.6011827,1,0.6011827,9,False
2,RedMaple,0.7931636,1,0.7931636,9,False
2,TulipTree,0.6011827,1,0.6011827,9,False
3,LobPine,0.5887239,1,0.5887239,9,False
3,LongleafPine,0.5887239,1,0.5887239,9,False
3,ShortPine,0.2371956,1,0.2371956,9,False
3,SlashPine,0.5887239,1,0.5887239,9,False
3,WhiteOak,0.6798435,1,0.6798435,9,False
3,TurkeyOak,0.5887239,1,0.5887239,9,False
3,SweetGum,0.5887239,1,0.5887239,9,False
3,RedMaple,0.7832171,1,0.7832171,9,False
3,TulipTree,0.5887239,1,0.5887239,9,False
4,LobPine,0.5957073,1,0.5957073,7,False
4,LongleafPine,0.5957073,1,0.5957073,7,False
4,ShortPine,0.2381783,1,0.2381783,7,False
4,SlashPine,0.5957073,1,0.5957073,7,False
4,WhiteOak,0.6656079,1,0.6656079,8,False
4,TurkeyOak,0.5957073,1,0.5957073,7,False
4,SweetGum,0.5957073,1,0.5957073,7,False
4,RedMaple,0.7903968,1,0.7903968,7,False
4,TulipTree,0.5957073,1,0.5957073,7,False
5,LobPine,0.6176807,1,0.6176807,7,False
5,LongleafPine,0.6176807,1,0.6176807,7,False
5,ShortPine,0.2630637,1,0.2630637,7,False
5,SlashPine,0.6176807,1,0.6176807,7,False
5,WhiteOak,0.67891,1,0.67891,8,False
5,TurkeyOak,0.6176807,1,0.6176807,7,False
5,SweetGum,0.6176807,1,0.6176807,7,False
5,RedMaple,0.8049691,1,0.8049691,7,False
5,TulipTree,0.6176807,1,0.6176807,7,False
6,LobPine,0.5690677,1,0.5690676,10,False
6,LongleafPine,0.5690677,1,0.5690676,10,False
6,ShortPine,0.2199725,1,0.2199725,10,False
6,SlashPine,0.5690677,1,0.5690676,10,False
6,WhiteOak,0.6613355,1,0.6613355,10,False
6,TurkeyOak,0.5690677,1,0.5690676,10,False
6,SweetGum,0.5690677,1,0.5690676,10,False
6,RedMaple,0.7686278,1,0.7686278,10,False
6,TulipTree,0.5690677,1,0.5690676,10,False
7,LobPine,0.6035843,1,0.6035843,9,False
7,LongleafPine,0.6035843,1,0.6035843,9,False
7,ShortPine,0.2489252,1,0.2489252,9,False
7,SlashPine,0.6035843,1,0.6035843,9,False
7,WhiteOak,0.6942918,1,0.6942918,9,False
7,TurkeyOak,0.6035843,1,0.6035843,9,False
7,SweetGum,0.6035843,1,0.6035843,9,False
7,RedMaple,0.7950655,1,0.7950655,9,False
7,TulipTree,0.6035843,1,0.6035843,9,False
8,LobPine,0.602356,1,0.602356,9,False
8,LongleafPine,0.602356,1,0.602356,9,False
8,ShortPine,0.2475416,1,0.2475416,9,False
8,SlashPine,0.602356,1,0.602356,9,False
8,WhiteOak,0.6932003,1,0.6932003,9,False
8,TurkeyOak,0.602356,1,0.602356,9,False
8,SweetGum,0.602356,1,0.602356,9,False
8,RedMaple,0.7942481,1,0.7942481,9,False
8,TulipTree,0.602356,1,0.602356,9,False
9,LobPine,0.6009762,1,0.6009762,9,False
9,LongleafPine,0.6009762,1,0.6009762,9,False
9,ShortPine,0.2459932,1,0.2459933,9,False
9,SlashPine,0.6009762,1,0.6009762,9,False
9,WhiteOak,0.6919732,1,0.6919732,9,False
9,TurkeyOak,0.6009762,1,0.6009762,9,False
9,SweetGum,0.6009762,1,0.6009762,9,False
9,RedMaple,0.793328,1,0.793328,9,False
9,TulipTree,0.6009762,1,0.6009762,9,False
10,LobPine,0.5994352,1,0.5994352,9,False
10,LongleafPine,0.5994352,1,0.5994352,9,False
10,ShortPine,0.2442711,1,0.2442712,9,False
10,SlashPine,0.5994352,1,0.5994352,9,False
10,WhiteOak,0.6906011,1,0.6906011,9,False
10,TurkeyOak,0.5994352,1,0.5994352,9,False
10,SweetGum,0.5994352,1,0.5994352,9,False
10,RedMaple,0.7922984,1,0.7922984,9,False
10,TulipTree,0.5994352,1,0.5994352,9,False
11,LobPine,0.5977139,1,0.5977139,9,False
11,LongleafPine,0.5977139,1,0.5977139,9,False
11,ShortPine,0.2423567,1,0.2423567,9,False
11,SlashPine,0.5977139,1,0.5977139,9,False
11,WhiteOak,0.6890666,1,0.6890666,9,False
11,TurkeyOak,0.5977139,1,0.5977139,9,False
11,SweetGum,0.5977139,1,0.5977139,9,False
11,RedMaple,0.7911456,1,0.7911456,9,False
11,TulipTree,0.5977139,1,0.5977139,9,False
12,LobPine,0.5957925,1,0.5957925,9,False
12,LongleafPine,0.5957925,1,0.5957925,9,False
12,ShortPine,0.2402309,1,0.2402309,9,False
12,SlashPine,0.5957925,1,0.5957925,9,False
12,WhiteOak,0.6873512,1,0.6873512,9,False
12,TurkeyOak,0.5957925,1,0.5957925,9,False
12,SweetGum,0.5957925,1,0.5957925,9,False
12,RedMaple,0.7898552,1,0.7898552,9,False
12,TulipTree,0.5957925,1,0.5957925,9,False
13,LobPine,0.5936483,1,0.5936483,9,False
13,LongleafPine,0.5936483,1,0.5936483,9,False
