Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
1, 1, Thinnning_Pines, 1016, 209, 6182, 37744.27, 629, 5553, 1, 10, 0, 176, 11, 10, 1, 1642.64, 35397.29, 22.54, 194.48, 0, 67.51, 25, 42.53, 0.11, 
1, 1, Clearcut_Slash, 107, 978, 0, 25975.52, 368, 55, 0, 463, 4, 0, 2, 86, 0, 4039.31, 204.85, 0, 8090.14, 26.72, 0, 7.2, 619.54, 0, 
2, 1, Thinnning_Pines, 1017, 155, 6051, 20858.42, 678, 5373, 4, 1, 12, 107, 10, 14, 7, 1186.7, 19092.56, 9.09, 0.5, 82.42, 78.29, 26.97, 34.3, 58.01, 
2, 1, Clearcut_Slash, 124, 1131, 0, 35124.9, 620, 0, 0, 372, 0, 0, 0, 139, 0, 7261.9, 0, 0, 9287.65, 0, 0, 0, 1012.9, 0, 
3, 1, Thinnning_Pines, 1019, 33, 6308, 12018.22, 756, 5552, 1, 3, 0, 23, 2, 2, 2, 929.63, 11040.41, 0.56, 1.27, 0, 17.77, 1.44, 1.34, 1.71, 
3, 1, Clearcut_Slash, 113, 1026, 0, 33300.08, 565, 0, 0, 339, 0, 0, 0, 122, 0, 7097.41, 0, 0, 8635.26, 0, 0, 0, 917.370000000001, 0, 
4, 1, Thinnning_Pines, 997, 45, 6454, 11814.11, 744, 5710, 0, 3, 5, 26, 5, 5, 1, 851.14, 10818.83, 0, 1.2, 13.78, 21.19, 3.77, 22.22, 9.91, 
4, 1, Clearcut_Slash, 111, 977, 0, 32628.26, 531, 12, 0, 320, 0, 1, 0, 113, 0, 7120.88, 112.55, 0, 8252.18999999999, 0, 0.77, 0, 827.74, 0, 
5, 1, Thinnning_Pines, 989, 43, 6551, 7240.39, 811, 5740, 1, 1, 2, 38, 1, 0, 0, 777.13, 6395.38, 0.51, 0.49, 1.32, 30.81, 0.81, 0, 0, 
5, 1, Clearcut_Slash, 133, 1210, 0, 40135.98, 618, 66, 3, 386, 1, 7, 0, 129, 0, 8710.25, 839.04, 24, 9546.58, 1.07, 10.09, 0, 936.96, 0, 
6, 1, Thinnning_Pines, 990, 89, 6784, 15696.56, 814, 5970, 0, 2, 4, 74, 4, 5, 0, 1009.94, 14496.56, 0, 0.93, 2.66, 83.82, 3.16, 4.46, 0, 
6, 1, Clearcut_Slash, 195, 1768, 0, 55164.08, 773, 77, 0, 682, 1, 0, 18, 191, 26, 11283.58, 617.98, 0, 14284.87, 1.9, 0, 72.08, 1151.64, 169.99, 
7, 1, Thinnning_Pines, 1016, 106, 6974, 18836.78, 834, 6140, 0, 1, 12, 55, 12, 19, 7, 1365.02, 16947.9, 0, 0.46, 42.13, 59.8, 34.34, 72.85, 52.35, 
7, 1, Clearcut_Slash, 105, 889, 0, 31927.78, 479, 6, 0, 296, 1, 0, 1, 106, 0, 7412.08, 128.64, 0, 7750.43, 3, 0, 9.15, 660.59, 0, 
8, 1, Thinnning_Pines, 992, 162, 6872, 15790.06, 844, 6028, 0, 0, 31, 48, 37, 43, 3, 1569.05, 13384.87, 0, 0, 150.61, 48.76, 115.25, 101.12, 2.33, 
8, 1, Clearcut_Slash, 148, 1240, 0, 47492.6, 622, 119, 0, 377, 2, 0, 2, 118, 0, 10455.34, 2181.43, 0, 10235.06, 5.68, 0, 17.69, 851.1, 0, 
9, 1, Thinnning_Pines, 1006, 69, 6924, 22785.47, 835, 6089, 0, 2, 4, 52, 5, 6, 0, 1654.52, 20926.65, 0, 10.62, 3.32, 79.2, 3.62, 5.39, 0, 
9, 1, Clearcut_Slash, 281, 2252, 0, 76725.2199999999, 756, 252, 56, 917, 1, 17, 86, 165, 2, 15952.13, 4852.3, 852.85, 14900.79, 11.51, 66.53, 556.02, 1153.48, 17, 
10, 1, Thinnning_Pines, 1020, 63, 6935, 23848.51, 847, 6088, 0, 0, 9, 19, 8, 15, 12, 2454.01, 20968.86, 0, 0, 23.63, 21.03, 29.07, 93.5, 45.59, 
10, 1, Clearcut_Slash, 129, 1078, 0, 43084.72, 572, 68, 0, 312, 2, 11, 0, 111, 2, 11015.06, 894.37, 0, 8796.92, 2.46, 29.13, 0, 787.22, 17.2, 
11, 1, Thinnning_Pines, 1075, 146, 7208, 31558.87, 1105, 6103, 2, 0, 22, 54, 29, 18, 21, 4275.32, 26289.55, 5.93, 0, 95.13, 85.13, 112.42, 33.09, 165.3, 
11, 1, Clearcut_Slash, 157, 1235, 0, 51126.78, 633, 85, 0, 363, 0, 14, 13, 126, 1, 12767.5, 1521.63, 0, 10152.5, 0, 48.33, 109.95, 962.909999999999, 0.57, 
12, 1, Thinnning_Pines, 985, 68, 6375, 16966.9, 900, 5475, 1, 2, 4, 21, 22, 11, 7, 2362.02, 14089.78, 0.47, 64.3, 4.03, 22.18, 74.83, 74.27, 17.47, 
12, 1, Clearcut_Slash, 226, 1736, 0, 69447.1799999999, 684, 138, 20, 691, 5, 1, 22, 162, 13, 14512.98, 3473.22, 325.4, 15159.71, 33.85, 3.95, 133.56, 1006.85, 74.07, 
13, 1, Thinnning_Pines, 1016, 96, 6486, 22375.8, 929, 5557, 1, 1, 5, 71, 6, 8, 4, 2929.04, 19026.48, 38.68, 0.45, 14.2, 135.19, 4.58, 8.88, 8.16, 
