Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
13, 1, Clearcut_Slash, 171, 1772, 0, 60103.46, 592, 312, 0, 519, 6, 24, 59, 256, 4, 10975.55, 6165.53, 0, 11855.65, 11.5, 80.91, 115.94, 809.5, 37.15, 
14, 1, Thinnning_Pines, 998, 67, 6511, 16566.96, 1057, 5454, 3, 3, 3, 44, 3, 11, 0, 3262.4, 13093.72, 1.42, 1.2, 3.24, 88.87, 2.42, 8.27, 0, 
14, 1, Clearcut_Slash, 133, 987, 0, 46730.9, 523, 64, 0, 295, 2, 4, 0, 99, 0, 13054.32, 1567.87, 0, 8122.34, 2.23, 13.98, 0, 604.71, 0, 
15, 1, Thinnning_Pines, 997, 65, 6486, 17106.59, 1112, 5374, 5, 3, 4, 42, 1, 4, 6, 2580.92, 14263.41, 2.51, 1.38, 4, 115.23, 0.8, 2.41, 4.8, 
15, 1, Clearcut_Slash, 229, 1888, 0, 70322.3, 788, 99, 15, 665, 6, 1, 82, 185, 47, 18860.81, 1876.72, 353.79, 12590.55, 30.4, 2.18, 333.68, 871.32, 241.7, 
16, 1, Thinnning_Pines, 997, 52, 6730, 11105.97, 1180, 5550, 0, 3, 2, 29, 5, 5, 8, 2040.5, 8988.17, 0, 1.34, 1.62, 22.2, 4, 3.32, 6.17, 
16, 1, Clearcut_Slash, 105, 893, 0, 41750.38, 472, 41, 0, 214, 14, 0, 35, 117, 0, 12838.74, 837.66, 0, 6387.21, 40.79, 0, 191.55, 579.24, 0, 
17, 1, Thinnning_Pines, 984, 68, 6407, 22034.58, 1157, 5250, 0, 2, 0, 54, 6, 4, 2, 1729.04, 20016.24, 0, 0.92, 0, 133.3, 4.85, 3.99, 1.59, 
17, 1, Clearcut_Slash, 278, 2257, 0, 109066.84, 1296, 48, 0, 549, 77, 0, 69, 218, 0, 33661.35, 2849.21, 0, 15851.99, 270.58, 0, 655.61, 1244.68, 0, 
18, 1, Thinnning_Pines, 1013, 101, 6687, 29402.35, 1140, 5547, 0, 1, 3, 85, 3, 5, 4, 1487.73, 27406.62, 0, 0.43, 1.73, 243.28, 2.45, 3.11, 3, 
18, 1, Clearcut_Slash, 189, 1419, 0, 64797.1, 594, 157, 1, 485, 2, 23, 9, 145, 3, 15360.48, 5443.42, 2.59, 10782.83, 1.38, 113.74, 27.16, 657.02, 9.93, 
19, 1, Thinnning_Pines, 998, 96, 6692, 23554.73, 1175, 5517, 3, 0, 2, 52, 6, 28, 5, 2566.22, 20498.77, 1.54, 0, 0.92, 141.68, 33.14, 49.32, 18.27, 
19, 1, Clearcut_Slash, 134, 1191, 0, 50149.54, 431, 61, 0, 277, 73, 0, 35, 289, 25, 13325.99, 995.48, 0, 7311.64, 772.98, 0, 185.49, 2357.51, 125.68, 
20, 1, Thinnning_Pines, 1008, 144, 6910, 31320.18, 1157, 5753, 1, 0, 6, 108, 4, 20, 5, 3200.36, 27428.84, 0.52, 0, 10.38, 298.72, 11, 18.99, 5.88, 
20, 1, Clearcut_Slash, 115, 1104, 0, 45115.88, 473, 137, 38, 240, 12, 20, 73, 75, 36, 12611.6, 3425.57, 376.42, 5182.97, 40.28, 71.09, 305.08, 393.1, 151.83, 
21, 1, Thinnning_Pines, 993, 348, 6619, 50039.69, 771, 5848, 0, 2, 12, 259, 16, 58, 1, 3068.83, 45058, 0, 0.89, 35.59, 772.38, 50.68, 96.1, 0.79, 
22, 1, Thinnning_Pines, 992, 62, 6071, 33197.98, 795, 5276, 0, 0, 7, 30, 7, 17, 1, 1936.6, 31142.8, 0, 0, 4.62, 34.87, 5.38, 13.62, 0.8, 
23, 1, Thinnning_Pines, 1001, 119, 5790, 40334.52, 630, 5160, 0, 1, 6, 62, 5, 41, 4, 1454.12, 38299.2, 0, 0.45, 9.6, 169.39, 3.94, 55.84, 51.38, 
24, 1, Thinnning_Pines, 997, 30, 5858, 28248.42, 615, 5243, 0, 0, 5, 14, 5, 6, 0, 1066.57, 27130.09, 0, 0, 2.99, 10.65, 8.23, 4.01, 0, 
25, 1, Thinnning_Pines, 1007, 192, 5932, 27821.89, 566, 5366, 0, 0, 2, 183, 2, 5, 0, 1525.84, 25033.81, 0, 0, 4.95, 621.57, 1.63, 2.97, 0, 
26, 1, Thinnning_Pines, 1000, 50, 5923, 19593.31, 580, 5343, 0, 0, 4, 25, 5, 16, 0, 1039.28, 18461.79, 0, 0, 8.12, 18.65, 4.02, 15.33, 0, 
27, 1, Thinnning_Pines, 984, 90, 5821, 21393.47, 432, 5389, 0, 0, 6, 63, 11, 10, 0, 1539.2, 19502.83, 0, 0, 6.58, 153.4, 8.64, 7.1, 0, 
28, 1, Thinnning_Pines, 999, 41, 5881, 30168.99, 476, 5405, 0, 0, 5, 23, 3, 10, 0, 2337.21, 27610.3, 0, 0, 15.14, 85.59, 2.45, 7.56, 0, 
29, 1, Thinnning_Pines, 1010, 257, 5798, 49013.44, 662, 5136, 0, 0, 39, 130, 29, 54, 5, 6545.48, 40238.08, 0, 0, 174.95, 634.91, 162.33, 121.24, 21.51, 
30, 1, Thinnning_Pines, 1004, 65, 5638, 38472.64, 681, 4957, 0, 0, 21, 17, 9, 15, 3, 6422.64, 31799.8, 0, 0, 29.72, 29.07, 32.91, 21.03, 12.37, 
31, 1, Thinnning_Pines, 1009, 205, 5609, 41317.34, 680, 4929, 5, 0, 14, 120, 12, 52, 2, 8188.16, 30655.58, 229.85, 0, 22.26, 807.47, 79.29, 96.55, 1.38, 
32, 1, Thinnning_Pines, 1019, 211, 4855, 45358.49, 741, 4114, 4, 0, 13, 56, 18, 86, 34, 9695, 32711.99, 137.53, 0, 50.53, 196.98, 131.53, 511.48, 447.7, 
33, 1, Thinnning_Pines, 999, 56, 4647, 45157.72, 910, 3737, 0, 0, 13, 19, 3, 17, 4, 11699.07, 33132.83, 0, 0, 21.3, 114.07, 1.98, 15.42, 10.14, 
34, 1, Thinnning_Pines, 987, 349, 4598, 39569.33, 914, 3684, 4, 5, 40, 95, 31, 131, 43, 9724.86, 25603.75, 127.05, 96.48, 189.73, 561.89, 293.94, 532.38, 318.89, 
35, 1, Thinnning_Pines, 1003, 233, 4661, 29145.99, 977, 3684, 5, 0, 30, 48, 52, 88, 10, 8591.25, 16556.32, 278.24, 0, 188.68, 171.76, 415.77, 903.21, 41.55, 
36, 1, Thinnning_Pines, 1035, 187, 4688, 31145.06, 919, 3769, 1, 0, 26, 102, 13, 36, 9, 6790.5, 22854.28, 0.47, 0, 94.25, 458.85, 57.87, 96.54, 42.16, 
37, 1, Thinnning_Pines, 1057, 114, 4960, 36745.78, 1120, 3840, 0, 0, 9, 32, 9, 61, 3, 11325.88, 24730.88, 0, 0, 10.37, 125.88, 53.92, 143.3, 11.04, 
38, 1, Thinnning_Pines, 990, 55, 4703, 17283.93, 1083, 3620, 0, 1, 6, 9, 12, 26, 1, 5617.56, 11594.53, 0, 0.42, 3.32, 7.05, 9.35, 15.19, 0.59, 
39, 1, Thinnning_Pines, 1017, 106, 4737, 21704.38, 1055, 3682, 0, 0, 8, 47, 14, 32, 5, 5435.55, 15778.13, 0, 0, 8.15, 158.81, 21.45, 40.47, 16.47, 
40, 1, Thinnning_Pines, 983, 28, 4633, 11678.33, 1039, 3594, 0, 0, 1, 13, 2, 12, 0, 3290.65, 8349.12, 0, 0, 0.57, 10.05, 1.6, 7.06, 0, 
41, 1, Thinnning_Pines, 999, 266, 4710, 29138.84, 932, 3778, 0, 1, 17, 175, 2, 55, 16, 6429.34, 19947.04, 0, 0.45, 32.12, 931.55, 2.54, 97.91, 316.66, 
42, 1, Thinnning_Pines, 983, 176, 4260, 20281.95, 1020, 3240, 0, 0, 30, 47, 3, 91, 5, 5650.45, 13794.72, 0, 0, 78.08, 169.69, 5.22, 161.81, 3.59, 
43, 1, Thinnning_Pines, 1009, 195, 4529, 21049.94, 1172, 3357, 0, 0, 19, 73, 13, 78, 12, 6249.06, 13696.58, 0, 0, 46.45, 287.38, 27.25, 151.31, 39.76, 
44, 1, Thinnning_Pines, 998, 279, 4512, 20483.47, 1176, 3336, 0, 2, 12, 52, 35, 119, 59, 6372.55, 11775.58, 0, 0.9, 33.44, 188.15, 295.75, 308.98, 340.45, 
45, 1, Thinnning_Pines, 1012, 150, 4504, 21538.09, 1157, 3347, 0, 22, 2, 58, 9, 50, 9, 7714.84, 12354.65, 0, 297.88, 1.32, 233.55, 84.19, 59.93, 57.43, 
46, 1, Thinnning_Pines, 986, 171, 4416, 14523.53, 1085, 3331, 0, 0, 40, 31, 3, 94, 3, 4627.91, 8077.6, 0, 0, 253.55, 104.55, 2.32, 546.16, 2.43, 
47, 1, Thinnning_Pines, 1008, 125, 4741, 16289.68, 1252, 3489, 0, 3, 14, 30, 6, 65, 7, 6590.36, 9465.04, 0, 1.17, 8.24, 48.49, 4.84, 48.9, 5.5, 
48, 1, Thinnning_Pines, 1020, 235, 4864, 20645.41, 1330, 3534, 0, 4, 7, 67, 30, 119, 8, 8769.41999999999, 10959.83, 0, 1.5, 6.33, 187.43, 59.93, 196.61, 6.28, 
49, 1, Thinnning_Pines, 1036, 257, 4852, 25543.13, 1261, 3591, 0, 0, 26, 134, 26, 70, 1, 9288.76, 14178.85, 0, 0, 66.83, 681.79, 106.19, 182.15, 0.8, 
50, 1, Thinnning_Pines, 1005, 62, 4783, 12469.64, 1239, 3544, 0, 3, 11, 20, 7, 19, 2, 4960.55, 7424.17, 0, 1.38, 5.92, 15.91, 5.76, 11.84, 1.65, 
