Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,LobPine,0.6212636,1,0.6212636,8,False
1,LongleafPine,0.6212636,1,0.6212636,8,False
1,ShortPine,0.2484403,1,0.2484403,9,False
1,SlashPine,0.6212636,1,0.6212636,8,False
1,WhiteOak,0.6931462,1,0.6931462,9,False
1,TurkeyOak,0.6025139,1,0.6025139,9,False
1,SweetGum,0.6025139,1,0.6025139,9,False
1,RedMaple,0.7940404,1,0.7940404,9,False
1,TulipTree,0.6025139,1,0.6025139,9,False
2,LobPine,0.6017879,1,0.6017879,9,False
2,LongleafPine,0.6017879,1,0.6017879,9,False
2,ShortPine,0.2479649,1,0.247965,9,False
2,SlashPine,0.6017879,1,0.6017879,9,False
2,WhiteOak,0.6753861,1,0.6753861,10,False
2,TurkeyOak,0.6017879,1,0.6017879,9,False
2,SweetGum,0.6017879,1,0.6017879,9,False
2,RedMaple,0.793568,1,0.793568,9,False
2,TulipTree,0.6017879,1,0.6017879,9,False
3,LobPine,0.5894135,1,0.5894135,9,False
3,LongleafPine,0.5894135,1,0.5894135,9,False
3,ShortPine,0.237947,1,0.2379471,9,False
3,SlashPine,0.5894135,1,0.5894135,9,False
3,WhiteOak,0.6804635,1,0.6804635,9,False
3,TurkeyOak,0.5894135,1,0.5894135,9,False
3,SweetGum,0.5894135,1,0.5894135,9,False
3,RedMaple,0.7836884,1,0.7836884,9,False
3,TulipTree,0.5894135,1,0.5894135,9,False
4,LobPine,0.5964851,1,0.5964851,7,False
4,LongleafPine,0.5964851,1,0.5964851,7,False
4,ShortPine,0.2390373,1,0.2390373,7,False
4,SlashPine,0.5964851,1,0.5964851,7,False
4,WhiteOak,0.667141,1,0.667141,8,False
4,TurkeyOak,0.5964851,1,0.5964851,7,False
4,SweetGum,0.5964851,1,0.5964851,7,False
4,RedMaple,0.7909179,1,0.7909179,7,False
4,TulipTree,0.5964851,1,0.5964851,7,False
5,LobPine,0.6184774,1,0.6184774,7,False
5,LongleafPine,0.6184774,1,0.6184774,7,False
5,ShortPine,0.2640009,1,0.2640009,7,False
5,SlashPine,0.6184774,1,0.6184774,7,False
5,WhiteOak,0.6806312,1,0.6806312,8,False
5,TurkeyOak,0.6184774,1,0.6184774,7,False
5,SweetGum,0.6184774,1,0.6184774,7,False
5,RedMaple,0.8054862,1,0.8054862,7,False
5,TulipTree,0.6184774,1,0.6184774,7,False
6,LobPine,0.5698849,1,0.5698849,10,False
6,LongleafPine,0.5698849,1,0.5698849,10,False
6,ShortPine,0.2208116,1,0.2208116,10,False
6,SlashPine,0.5698849,1,0.5698849,10,False
6,WhiteOak,0.662083,1,0.662083,10,False
6,TurkeyOak,0.5698849,1,0.5698849,10,False
6,SweetGum,0.5698849,1,0.5698849,10,False
6,RedMaple,0.7692062,1,0.7692062,10,False
6,TulipTree,0.5698849,1,0.5698849,10,False
7,LobPine,0.6044566,1,0.6044566,9,False
7,LongleafPine,0.6044566,1,0.6044566,9,False
7,ShortPine,0.2499108,1,0.2499108,9,False
7,SlashPine,0.6044566,1,0.6044566,9,False
7,WhiteOak,0.6950662,1,0.6950662,9,False
7,TurkeyOak,0.6044566,1,0.6044566,9,False
7,SweetGum,0.6044566,1,0.6044566,9,False
7,RedMaple,0.7956453,1,0.7956453,9,False
7,TulipTree,0.6044566,1,0.6044566,9,False
8,LobPine,0.6032674,1,0.6032674,9,False
8,LongleafPine,0.6032674,1,0.6032674,9,False
8,ShortPine,0.2485678,1,0.2485678,9,False
8,SlashPine,0.6032674,1,0.6032674,9,False
8,WhiteOak,0.6940103,1,0.6940103,9,False
8,TurkeyOak,0.6032674,1,0.6032674,9,False
8,SweetGum,0.6032674,1,0.6032674,9,False
8,RedMaple,0.7948549,1,0.7948549,9,False
8,TulipTree,0.6032674,1,0.6032674,9,False
9,LobPine,0.6019256,1,0.6019256,9,False
9,LongleafPine,0.6019256,1,0.6019256,9,False
9,ShortPine,0.2470579,1,0.2470579,9,False
9,SlashPine,0.6019256,1,0.6019256,9,False
9,WhiteOak,0.6928176,1,0.6928176,9,False
9,TurkeyOak,0.6019256,1,0.6019256,9,False
9,SweetGum,0.6019256,1,0.6019256,9,False
9,RedMaple,0.7939612,1,0.7939612,9,False
9,TulipTree,0.6019256,1,0.6019256,9,False
10,LobPine,0.6004179,1,0.6004179,9,False
10,LongleafPine,0.6004179,1,0.6004179,9,False
10,ShortPine,0.2453683,1,0.2453683,9,False
10,SlashPine,0.6004179,1,0.6004179,9,False
10,WhiteOak,0.6914761,1,0.6914761,9,False
10,TurkeyOak,0.6004179,1,0.6004179,9,False
10,SweetGum,0.6004179,1,0.6004179,9,False
10,RedMaple,0.7929552,1,0.7929552,9,False
10,TulipTree,0.6004179,1,0.6004179,9,False
11,LobPine,0.5987248,1,0.5987248,9,False
11,LongleafPine,0.5987248,1,0.5987248,9,False
11,ShortPine,0.2434799,1,0.2434799,9,False
11,SlashPine,0.5987248,1,0.5987248,9,False
11,WhiteOak,0.6899679,1,0.6899679,9,False
11,TurkeyOak,0.5987248,1,0.5987248,9,False
11,SweetGum,0.5987248,1,0.5987248,9,False
11,RedMaple,0.7918229,1,0.7918229,9,False
11,TulipTree,0.5987248,1,0.5987248,9,False
12,LobPine,0.5968254,1,0.5968254,9,False
12,LongleafPine,0.5968254,1,0.5968254,9,False
12,ShortPine,0.2413722,1,0.2413722,9,False
12,SlashPine,0.5968254,1,0.5968254,9,False
12,WhiteOak,0.6882737,1,0.6882737,9,False
12,TurkeyOak,0.5968254,1,0.5968254,9,False
12,SweetGum,0.5968254,1,0.5968254,9,False
12,RedMaple,0.7905493,1,0.7905493,9,False
12,TulipTree,0.5968254,1,0.5968254,9,False
13,LobPine,0.5946947,1,0.5946946,9,False
13,LongleafPine,0.5946947,1,0.5946946,9,False
13,ShortPine,0.2390217,1,0.2390217,9,False
13,SlashPine,0.5946947,1,0.5946946,9,False
13,WhiteOak,0.6863701,1,0.6863701,9,False
13,TurkeyOak,0.5946947,1,0.5946946,9,False
13,SweetGum,0.5946947,1,0.5946946,9,False
13,RedMaple,0.7891164,1,0.7891164,9,False
13,TulipTree,0.5946947,1,0.5946946,9,False
14,LobPine,0.5923069,1,0.5923069,9,False
14,LongleafPine,0.5923069,1,0.5923069,9,False
14,ShortPine,0.2364051,1,0.2364051,9,False
14,SlashPine,0.5923069,1,0.5923069,9,False
14,WhiteOak,0.6842334,1,0.6842334,9,False
14,TurkeyOak,0.5923069,1,0.5923069,9,False
14,SweetGum,0.5923069,1,0.5923069,9,False
14,RedMaple,0.7875054,1,0.7875054,9,False
14,TulipTree,0.5923069,1,0.5923069,9,False
15,LobPine,0.5896336,1,0.5896336,9,False
15,LongleafPine,0.5896336,1,0.5896336,9,False
15,ShortPine,0.2334972,1,0.2334972,9,False
15,SlashPine,0.5896336,1,0.5896336,9,False
15,WhiteOak,0.6818365,1,0.6818365,9,False
15,TurkeyOak,0.5896336,1,0.5896336,9,False
15,SweetGum,0.5896336,1,0.5896336,9,False
15,RedMaple,0.7856953,1,0.7856953,9,False
15,TulipTree,0.5896336,1,0.5896336,9,False
16,LobPine,0.5866449,1,0.5866449,9,False
16,LongleafPine,0.5866449,1,0.5866449,9,False
16,ShortPine,0.2302733,1,0.2302733,9,False
