species,table_appendix_a,Description,age,live_tree_tonnes_ha,agb_ton_acre,agb_g_m2
RedMaple,2,northeast maple=beech-birch ,125,162.1,324.2,32420
TulipTree,43,Southeast oak-gum-cypress ,0,0,0,0
TulipTree,43,Southeast oak-gum-cypress ,5,6.7,13.4,1340
TulipTree,43,Southeast oak-gum-cypress ,10,18.8,37.6,3760
TulipTree,43,Southeast oak-gum-cypress ,15,28.3,56.6,5660
TulipTree,43,Southeast oak-gum-cypress ,20,38,76,7600
TulipTree,43,Southeast oak-gum-cypress ,25,46.8,93.6,9360
TulipTree,43,Southeast oak-gum-cypress ,30,54,108,10800
TulipTree,43,Southeast oak-gum-cypress ,35,62.3,124.6,12460
TulipTree,43,Southeast oak-gum-cypress ,40,71.9,143.8,14380
TulipTree,43,Southeast oak-gum-cypress ,45,80.9,161.8,16180
TulipTree,43,Southeast oak-gum-cypress ,50,89,178,17800
TulipTree,43,Southeast oak-gum-cypress ,55,97.3,194.6,19460
TulipTree,43,Southeast oak-gum-cypress ,60,105.9,211.8,21180
TulipTree,43,Southeast oak-gum-cypress ,65,114.5,229,22900
TulipTree,43,Southeast oak-gum-cypress ,70,122.5,245,24500
TulipTree,43,Southeast oak-gum-cypress ,75,129.3,258.6,25860
TulipTree,43,Southeast oak-gum-cypress ,80,135.4,270.8,27080
TulipTree,43,Southeast oak-gum-cypress ,85,142.9,285.8,28580
TulipTree,43,Southeast oak-gum-cypress ,90,151.2,302.4,30240
