Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1987	3	25.98043	-3.52927	354.9	105.6946535	390	0
1987	4	29.7411	-0.17316	461.6	98.69257736	390	0
1987	5	31.74746	6.13778	496.1	44.11428804	390	0
1987	6	33.64733	12.88516	531.8	108.8647062	390	0
1987	7	37.62292	15.70004	531.2	76.93689052	390	0
1987	8	35.95425	16.68243	445.4	125.806184	390	0
1987	9	32.88683	9.97082	378.1	118.7990247	390	0
1987	10	27.6853	-4.27527	309.5	32.25151685	390	0
1987	11	26.74334	-6.2513	215.5	66.21233643	390	0
1987	12	24.8321	-6.00236	173.8	75.02264935	390	0
1988	1	22.8633	-10.45045	188.4	88.18779669	390	0
1988	2	22.9334	-9.40516	247.6	56.28601331	390	0
1988	3	27.08816	-4.51264	354.9	67.37914282	390	0
1988	4	29.9291	-0.02784	461.6	74.92980873	390	0
1988	5	33.18755	5.8165	496.1	87.37520636	390	0
1988	6	37.33425	9.18542	531.8	100.3777635	390	0
1988	7	36.76608	13.42016	531.2	164.4120484	390	0
1988	8	40.06478	16.94863	445.4	135.997485	390	0
1988	9	32.1675	11.5382	378.1	123.2152752	390	0
1988	10	28.94534	-1.4071	309.5	63.22673631	390	0
1988	11	26.8638	-2.89545	215.5	83.27818398	390	0
1988	12	24.01656	-9.0432	173.8	19.05929134	390	0
1989	1	20.37942	-6.5441	188.4	50.79795749	390	0
1989	2	27.9833	-12.37943	247.6	106.3566266	390	0
1989	3	28.0978	-4.99668	354.9	159.0808342	390	0
1989	4	32.29885	-1.67997	461.6	127.2323585	390	0
1989	5	34.8556	1.59994	496.1	123.5425132	390	0
1989	6	35.44192	15.98547	531.8	181.5484239	390	0
1989	7	36.6762	14.7675	531.2	193.5194861	390	0
1989	8	34.91854	12.31954	445.4	112.648721	390	0
1989	9	33.35952	7.71243	378.1	109.453196	390	0
1989	10	29.94543	-0.07252	309.5	112.4887536	390	0
1989	11	25.4902	-3.91892	215.5	74.59838738	390	0
1989	12	17.70065	-13.26017	173.8	87.70143543	390	0
1990	1	22.57296	-4.86042	188.4	67.34099331	390	0
1990	2	26.2004	-7.03675	247.6	80.82342357	390	0
1990	3	29.50253	-2.67136	354.9	99.40324722	390	0
1990	4	33.03982	0.1009	461.6	69.805515	390	0
1990	5	31.94723	6.49035	496.1	138.7270634	390	0
1990	6	36.9848	11.29507	531.8	21.69677337	390	0
1990	7	37.3675	15.1737	531.2	81.73312284	390	0
1990	8	36.21932	17.73852	445.4	137.5164457	390	0
1990	9	35.93017	4.7745	378.1	29.26383932	390	0
1990	10	33.2142	-1.43232	309.5	198.8506843	390	0
1990	11	26.72268	-2.27018	215.5	47.42168124	390	0
1990	12	24.93246	-4.49213	173.8	69.82365328	390	0
1991	1	19.98583	-6.84742	188.4	117.1060242	390	0
1991	2	25.09313	-9.7869	247.6	34.93773087	390	0
1991	3	29.07513	-1.44074	354.9	133.8623345	390	0
1991	4	31.60266	4.03158	461.6	65.28090527	390	0
