Year Month Tmax Tmin PAR Prec CO2 O3
1600-2500 1 11.3914948259762 -0.769447972835295 188.4 88.6306936119474 390 0
1600-2500 2 13.6444200644932 0.726005673126804 247.6 88.9297097657368 390 0
1600-2500 3 18.5246596604415 4.71060397283534 354.9 97.8019718488947 390 0
1600-2500 4 23.6401489298246 9.31675378070178 461.6 80.0576968428947 390 0
1600-2500 5 27.468569762309 14.2553181239389 496.1 86.1491997393684 390 0
1600-2500 6 31.1742203596491 19.0110229385965 531.8 119.353785127079 390 0
1600-2500 7 32.7481760186757 21.171398344652 531.2 132.506874742763 390 0
1600-2500 8 31.6641906366723 20.3044709083192 445.4 118.074422934553 390 0
1600-2500 9 28.1686486491228 16.6247590614035 378.1 123.443987445684 390 0
1600-2500 10 23.2626293378608 9.71525441426148 309.5 83.6549406168421 390 0
1600-2500 11 18.0290427105263 4.48282194736844 215.5 81.1215402111579 390 0
1600-2500 12 13.2002591001698 1.03749880305605 173.8 79.1827590083421 390 0
