Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
2008,1,0,0,0,0,0.02809303,0,0,0,0,25,51,6.836413,0.08984073,1,188.5732,3,0.4471578,1,0,0.2977868,0.1824222,1,False,0.9969516,1.4,0,1,300,fTemp,
2008.08,1,0,0,0,0,0.03734834,0,0,0,0,25,51,6.799063,0.08934989,1,188.5732,3,0.5079429,1,0,0.5841516,0.2446585,1,False,0.9969516,1.4,0,1,300,fRad,
2008.17,1,0,0.02029195,1.902647,0.2377449,0.04771448,1.664902,0.3848801,0.1297442,7.609482,25,51,4.991985,0.05965487,1,188.5617,3,0.5867757,1,1.032944,0.7295988,0.3125642,1,True,0.9969516,1.4,0.1,1,300,fRad,
2008.25,1,0,0.02029195,2.463253,0.3026121,0.0640367,2.160641,0.5710703,0.1134796,7.609482,25,51,7.088591,0.08470958,1,188.5618,3,0.616452,1,1.032944,0.8607625,0.4194864,1,True,0.9969516,1.4,0.1,1,300,fRad,
2008.33,1,0,0.02029195,3.120166,0.4032763,0.08758432,2.716889,0.986129,0.08263478,7.609482,25,51,9.717896,0.1161301,1,187.7511,3,0.6544486,1,1.032944,0.9641277,0.5737403,1,True,0.9969516,1.4,0.1,1,300,fRad,
2008.42,1,0,0.02029195,3.166333,0.5305958,0.1409078,2.635738,1.357216,0.05824759,7.609482,25,51,12.21273,0.1459437,1,187.4039,3,0.6771618,1,1.032944,0.986384,0.9230476,1,True,0.9969516,1.4,0.1,1,300,fRad,
2008.5,1,0,0.02029195,3.331753,0.5339874,0.1327042,2.797765,1.249872,0.06713831,7.609482,25,51,14.87779,0.1777915,1,182.1242,3.5,0.6662404,1,1.032944,0.996928,0.8693081,1,True,0.9969516,1.4,0.1,1,300,fRad,
2008.58,1,0,0.02029195,3.140398,0.5189011,0.1236111,2.621497,1.063984,0.07389904,7.609482,25,51,17.37567,0.2076415,1,183.5469,3,0.6416828,1,1.032944,0.9999995,0.8097419,1,True,0.9969516,1.4,0.1,1,300,fRad,
2008.67,1,0,0.02029195,2.572595,0.4358852,0.09718242,2.13671,0.6527727,0.09817668,7.609482,25,51,19.4152,0.2320142,1,188.4292,3,0.5701307,1,1.032944,0.9791237,0.6366147,1,True,0.9969516,1.4,0.1,1,300,fRad,
2008.75,1,0,0.02029195,1.972524,0.2896503,0.05652161,1.682874,0.4674779,0.107973,7.609482,25,51,21.04156,0.2514494,1,186.3675,3,0.5552701,1,1.032944,0.8341633,0.3702572,1,True,0.9969516,1.4,0.1,1,300,fRad,
2008.83,1,0,0.01014598,0,0,0.03729836,0,0,0,3.804741,25,51,21.00425,0.2629214,1,188.5732,3,0.463914,1,0,0.5803373,0.2443311,1,False,0.9969516,1.4,0.1,1,300,fRad,
2008.92,1,0,0.01014598,0,0,0.03577003,0,0,0,3.804741,25,51,20.96849,0.2624737,1,188.5732,3,0.4014586,1,0,0.5394515,0.2343194,1,False,0.9969516,1.4,0.1,1,300,fRad,
2009,2,0,0.01014598,0,0,0.02733795,0,0,0,3.804741,29,60,6.776255,0.07274222,1,188.5732,3,0.4272596,1,0,0.2615261,0.1790833,1,False,0.9964191,1.4,0.1,1,300,fTemp,
2009.08,2,0,0.01014598,0,0,0.03883933,0,0,0,3.804741,29,60,6.737416,0.0723253,1,188.5732,3,0.5200126,1,0,0.4771867,0.2165334,1,False,0.9964191,1.4,0.1,1,300,fTemp,
2009.17,2,0,0.0238302,1.906416,0.2490193,0.05066529,1.657397,0.3147184,0.1579535,8.936324,29,60,6.034937,0.06141332,1,188.5312,3,0.5591046,1,1.032944,0.6426559,0.2824643,1,True,0.9964191,1.4,0.1,1,300,fRad,
2009.25,2,0,0.0238302,3.028661,0.3728543,0.07927094,2.655807,0.8216516,0.09694679,8.936324,29,60,8.611474,0.08763292,1,187.121,3,0.6352478,1,1.032944,0.893963,0.4419438,1,True,0.9964191,1.4,0.1,1,300,fRad,
2009.33,2,0,0.0238302,3.675274,0.5061266,0.1112099,3.169147,1.03484,0.09185312,8.936324,29,60,11.66941,0.1187514,1,184.4383,3.2,0.6317836,1,1.032944,0.9733291,0.6200069,1,True,0.9964191,1.4,0.1,1,300,fRad,
2009.42,2,0,0.0238302,3.823117,0.5962124,0.1517252,3.226905,1.407618,0.06875844,8.936324,29,60,14.74459,0.1500453,1,184.1298,3.1,0.6615532,1,1.032944,0.9991524,0.845884,1,True,0.9964191,1.4,0.1,1,300,fRad,
