Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,LobPine,0.6201054,1,0.6201054,8,False
1,LongleafPine,0.6201054,1,0.6201054,8,False
1,ShortPine,0.247371,1,0.247371,9,False
1,SlashPine,0.6201054,1,0.6201054,8,False
1,WhiteOak,0.6924686,1,0.6924686,9,False
1,TurkeyOak,0.6017083,1,0.6017083,9,False
1,SweetGum,0.6017083,1,0.6017083,9,False
1,RedMaple,0.7935628,1,0.7935628,9,False
1,TulipTree,0.6017083,1,0.6017083,9,False
2,LobPine,0.6001477,1,0.6001477,9,False
2,LongleafPine,0.6001477,1,0.6001477,9,False
2,ShortPine,0.2461288,1,0.2461288,9,False
2,SlashPine,0.6001477,1,0.6001477,9,False
2,WhiteOak,0.6736879,1,0.6736879,10,False
2,TurkeyOak,0.6001477,1,0.6001477,9,False
2,SweetGum,0.6001477,1,0.6001477,9,False
2,RedMaple,0.7924712,1,0.7924712,9,False
2,TulipTree,0.6001477,1,0.6001477,9,False
3,LobPine,0.587148,1,0.5871481,9,False
3,LongleafPine,0.587148,1,0.5871481,9,False
3,ShortPine,0.2354838,1,0.2354838,9,False
3,SlashPine,0.587148,1,0.5871481,9,False
3,WhiteOak,0.6784256,1,0.6784256,9,False
3,TurkeyOak,0.587148,1,0.5871481,9,False
3,SweetGum,0.587148,1,0.5871481,9,False
3,RedMaple,0.7821383,1,0.7821383,9,False
3,TulipTree,0.587148,1,0.5871481,9,False
4,LobPine,0.5935098,1,0.5935098,7,False
4,LongleafPine,0.5935098,1,0.5935098,7,False
4,ShortPine,0.2357621,1,0.2357621,7,False
4,SlashPine,0.5935098,1,0.5935098,7,False
4,WhiteOak,0.6642543,1,0.6642543,8,False
4,TurkeyOak,0.5935098,1,0.5935098,7,False
4,SweetGum,0.5935098,1,0.5935098,7,False
4,RedMaple,0.7889215,1,0.7889215,7,False
4,TulipTree,0.5935098,1,0.5935098,7,False
5,LobPine,0.6147336,1,0.6147336,7,False
5,LongleafPine,0.6147336,1,0.6147336,7,False
5,ShortPine,0.2596156,1,0.2596156,7,False
5,SlashPine,0.6147336,1,0.6147336,7,False
5,WhiteOak,0.6770024,1,0.6770024,8,False
5,TurkeyOak,0.6147336,1,0.6147336,7,False
5,SweetGum,0.6147336,1,0.6147336,7,False
5,RedMaple,0.8030514,1,0.8030514,7,False
5,TulipTree,0.6147336,1,0.6147336,7,False
6,LobPine,0.5650647,1,0.5650647,10,False
6,LongleafPine,0.5650647,1,0.5650647,10,False
6,ShortPine,0.2158915,1,0.2158915,10,False
6,SlashPine,0.5650647,1,0.5650647,10,False
6,WhiteOak,0.6576679,1,0.6576679,10,False
6,TurkeyOak,0.5650647,1,0.5650647,10,False
6,SweetGum,0.5650647,1,0.5650647,10,False
6,RedMaple,0.7657853,1,0.7657853,10,False
6,TulipTree,0.5650647,1,0.5650647,10,False
7,LobPine,0.5981025,1,0.5981025,9,False
7,LongleafPine,0.5981025,1,0.5981025,9,False
7,ShortPine,0.242788,1,0.242788,9,False
7,SlashPine,0.5981025,1,0.5981025,9,False
7,WhiteOak,0.6894131,1,0.6894131,9,False
7,TurkeyOak,0.5981025,1,0.5981025,9,False
7,SweetGum,0.5981025,1,0.5981025,9,False
7,RedMaple,0.7914061,1,0.7914061,9,False
7,TulipTree,0.5981025,1,0.5981025,9,False
8,LobPine,0.5950619,1,0.5950619,9,False
8,LongleafPine,0.5950619,1,0.5950619,9,False
8,ShortPine,0.2394258,1,0.2394258,9,False
8,SlashPine,0.5950619,1,0.5950619,9,False
8,WhiteOak,0.6866986,1,0.6866986,9,False
8,TurkeyOak,0.5950619,1,0.5950619,9,False
8,SweetGum,0.5950619,1,0.5950619,9,False
