Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
13, 1, Thinnning_Pines, 1001, 87, 6460, 18243.68, 895, 5565, 1, 4, 4, 67, 6, 5, 0, 2074.54, 15858.14, 0.43, 1.67, 3.18, 140.71, 4.63, 4.88, 0, 
13, 1, Clearcut_Slash, 109, 904, 0, 38595.44, 391, 116, 0, 265, 4, 23, 3, 98, 4, 8063.95, 3700.7, 0, 6850.8, 11.65, 79.57, 27.42, 524.89, 38.74, 
14, 1, Thinnning_Pines, 983, 55, 6458, 12358.81, 854, 5604, 0, 0, 7, 42, 2, 4, 0, 1405.3, 10745.15, 0, 0, 5.75, 91.49, 1.56, 5.38, 0, 
14, 1, Clearcut_Slash, 129, 1428, 0, 45880.22, 455, 221, 0, 421, 7, 4, 61, 259, 0, 9475.52, 3157.24, 0, 9497.74, 13.69, 11.48, 102.57, 681.87, 0, 
15, 1, Thinnning_Pines, 1021, 56, 6486, 21995.48, 926, 5560, 0, 0, 3, 47, 3, 3, 0, 2737.34, 19022.98, 0, 0, 2.3, 107.97, 2.45, 4.86, 0, 
15, 1, Clearcut_Slash, 169, 1290, 0, 61025.38, 633, 94, 15, 407, 1, 3, 15, 122, 0, 15875.84, 2197.39, 341.24, 11292.21, 0.68, 13.69, 53.31, 738.33, 0, 
16, 1, Thinnning_Pines, 999, 27, 6489, 12149.43, 914, 5575, 0, 4, 1, 18, 2, 2, 0, 1673.75, 10435.42, 0, 1.87, 0.63, 14.27, 1.63, 1.73, 0, 
16, 1, Clearcut_Slash, 139, 1103, 0, 41663.84, 421, 47, 0, 418, 7, 1, 59, 85, 65, 12121.07, 1148.22, 0, 6536.17, 33.86, 1.99, 276.23, 379.8, 334.58, 
17, 1, Thinnning_Pines, 993, 54, 6194, 20778.52, 860, 5334, 0, 1, 1, 46, 1, 4, 1, 1478.82, 19061.04, 0, 0.46, 2.25, 112.48, 0.81, 2.27, 1.06, 
17, 1, Clearcut_Slash, 105, 914, 0, 43778.5, 488, 36, 0, 213, 12, 1, 35, 129, 0, 13814.25, 849, 0, 6323.14, 40.21, 8.13, 202.75, 651.77, 0, 
18, 1, Thinnning_Pines, 1004, 82, 6332, 22984.02, 840, 5492, 2, 3, 3, 56, 6, 10, 2, 993.51, 21680.43, 1.04, 1.39, 1.71, 134.92, 4.94, 9.41, 1.63, 
18, 1, Clearcut_Slash, 281, 2191, 0, 111928.12, 1275, 51, 0, 554, 70, 0, 57, 184, 0, 35056.89, 2986.72, 0, 15914.48, 277.54, 0, 588.93, 1139.5, 0, 
19, 1, Thinnning_Pines, 1000, 103, 6356, 27803.24, 878, 5478, 1, 0, 4, 91, 4, 3, 0, 1694.24, 25555.58, 0.51, 0, 5.08, 265.11, 4.13, 1.88, 0, 
19, 1, Clearcut_Slash, 190, 1403, 0, 68767.24, 599, 148, 0, 479, 1, 24, 10, 136, 6, 16318.26, 6156.83, 0, 11141.15, 1.1, 132.51, 29.54, 568.35, 35.88, 
20, 1, Thinnning_Pines, 1014, 138, 6573, 32689.38, 922, 5651, 3, 1, 14, 92, 4, 19, 5, 2723.6, 29228.24, 68.65, 0.46, 33.17, 231.9, 3.14, 23.45, 8, 
20, 1, Clearcut_Slash, 134, 1185, 0, 52345.24, 437, 61, 0, 281, 68, 0, 36, 277, 25, 14175.62, 1077.12, 0, 7449.38, 786.09, 0, 200, 2348.89, 135.52, 
21, 1, Thinnning_Pines, 1003, 279, 6745, 40419.09, 939, 5806, 3, 1, 3, 203, 15, 53, 1, 3029.78, 35866.33, 1.53, 0.45, 5.73, 628.01, 46.79, 76.93, 2.05, 
22, 1, Thinnning_Pines, 1027, 165, 5879, 50815.21, 589, 5290, 0, 2, 11, 106, 10, 35, 1, 2031.88, 47956.77, 0, 0.9, 30.79, 303.22, 29.11, 48.45, 0.81, 
23, 1, Thinnning_Pines, 985, 73, 5609, 36941.73, 538, 5071, 0, 1, 10, 31, 3, 26, 2, 2239.23, 34530.22, 0, 0.45, 9.2, 45.3, 2.29, 19.72, 9.18, 
24, 1, Thinnning_Pines, 1022, 90, 5872, 27083.78, 522, 5350, 0, 1, 4, 76, 1, 7, 1, 1414.55, 25189.81, 0, 0.46, 4.1, 228.82, 0.81, 4.72, 0.8, 
25, 1, Thinnning_Pines, 1011, 83, 5862, 28353.36, 328, 5534, 0, 1, 8, 45, 8, 18, 3, 974.64, 27192.08, 0, 0.45, 10.95, 57.13, 6.31, 16.07, 2.41, 
26, 1, Thinnning_Pines, 993, 54, 5982, 15021.11, 381, 5601, 0, 2, 4, 32, 5, 9, 2, 698.39, 14244.96, 0, 0.87, 2.18, 24.42, 3.74, 6.1, 1.57, 
27, 1, Thinnning_Pines, 987, 66, 6075, 17841.07, 451, 5624, 0, 2, 4, 40, 4, 14, 2, 1382.03, 16277.66, 0, 0.88, 5.16, 64.74, 6.28, 12.03, 1.6, 
28, 1, Thinnning_Pines, 1010, 169, 5759, 46234.11, 489, 5270, 0, 0, 4, 144, 4, 14, 3, 4700.72, 40071.55, 0, 0, 23.12, 577.18, 25.25, 48.24, 57.13, 
29, 1, Thinnning_Pines, 1042, 210, 5792, 44255.91, 542, 5250, 0, 0, 17, 132, 18, 36, 7, 6176.7, 36099.07, 0, 0, 125.8, 631.37, 104.12, 82.15, 46.63, 
30, 1, Thinnning_Pines, 998, 55, 5507, 33092.33, 578, 4929, 0, 2, 5, 25, 11, 12, 0, 5290.71, 27632.8, 0, 0.88, 6.05, 19.07, 48.78, 9.63, 0, 
31, 1, Thinnning_Pines, 983, 267, 5343, 47077.09, 655, 4688, 8, 1, 20, 131, 21, 74, 12, 8029.22, 35780.39, 497.22, 0.43, 80.04, 601.45, 182.18, 225.25, 47.17, 
32, 1, Thinnning_Pines, 988, 274, 4471, 37830.94, 630, 3841, 4, 6, 29, 23, 34, 125, 53, 7722.53, 25648.79, 105.88, 162.34, 116.58, 64.92, 363.59, 711.87, 704.63, 
33, 1, Thinnning_Pines, 991, 114, 4450, 30712.58, 733, 3717, 1, 0, 13, 26, 14, 44, 16, 7981.45, 21928.35, 0.56, 0, 49.97, 83.18, 67.3, 137.29, 63.09, 
34, 1, Thinnning_Pines, 987, 157, 4426, 41491.85, 792, 3634, 0, 0, 5, 96, 9, 44, 3, 7384.17, 32958.1, 0, 0, 9.98, 442.83, 40.8, 73.41, 7.77, 
35, 1, Thinnning_Pines, 990, 170, 4281, 27365.35, 731, 3550, 0, 2, 12, 74, 10, 44, 28, 5034.11, 20500.86, 0, 41.25, 69.82, 436.81, 76.67, 101.6, 189.04, 
36, 1, Thinnning_Pines, 994, 54, 4379, 25419.75, 778, 3601, 0, 0, 2, 24, 3, 21, 4, 6147.99, 18887.56, 0, 0, 3.91, 72.91, 46.38, 61.68, 7.22, 
37, 1, Thinnning_Pines, 1001, 144, 4491, 26380.64, 716, 3775, 0, 0, 7, 53, 12, 59, 13, 5675.3, 20135.5, 0, 0, 10.11, 177.15, 21.74, 57.15, 18.77, 
38, 1, Thinnning_Pines, 987, 40, 4509, 15968.18, 769, 3740, 0, 1, 1, 14, 6, 16, 2, 3936.89, 11934.81, 0, 0.4, 0.57, 24.99, 11.27, 9.4, 1.61, 
39, 1, Thinnning_Pines, 996, 336, 4568, 27922.14, 766, 3802, 0, 0, 8, 61, 56, 154, 57, 6858.98, 18121.74, 0, 0, 30.15, 307.79, 376.88, 389.33, 366.56, 
40, 1, Thinnning_Pines, 1018, 75, 4830, 24637.68, 939, 3891, 0, 1, 2, 23, 8, 33, 8, 8271.2, 16085.22, 0, 0.44, 1.16, 41.47, 18.6, 41.13, 37.83, 
41, 1, Thinnning_Pines, 1015, 56, 4915, 16849.6, 949, 3966, 0, 0, 3, 21, 1, 31, 0, 5298.89, 11410.45, 0, 0, 6.27, 36.23, 6.33, 21.3, 0, 
42, 1, Thinnning_Pines, 1026, 269, 4500, 25506.66, 915, 3585, 4, 0, 4, 112, 21, 110, 18, 6263.79, 16424.87, 192.9, 0, 6.07, 555.12, 156.1, 398.42, 100.39, 
43, 1, Thinnning_Pines, 989, 157, 4406, 20613.67, 987, 3419, 0, 1, 13, 24, 3, 92, 24, 6500.9, 12498.69, 0, 0.45, 52.47, 122.31, 3.81, 230.84, 397.16, 
44, 1, Thinnning_Pines, 996, 57, 4541, 13751.37, 994, 3547, 0, 0, 3, 34, 0, 19, 1, 4566.32, 8978.15, 0, 0, 1.63, 89.96, 0, 11.18, 0.68, 
45, 1, Thinnning_Pines, 1013, 276, 4355, 24383.67, 880, 3475, 4, 0, 36, 66, 27, 133, 10, 7303.35, 12545.04, 308.91, 0, 237.23, 354.1, 236.55, 1064.56, 66.29, 
46, 1, Thinnning_Pines, 989, 55, 4367, 10351.17, 855, 3512, 1, 0, 4, 20, 0, 28, 2, 3804.64, 6473.33, 0.42, 0, 2.25, 15.89, 0, 16.64, 1.4, 
47, 1, Thinnning_Pines, 987, 122, 4366, 19653.9, 929, 3437, 0, 20, 2, 57, 2, 41, 0, 7524.83, 11011.93, 0, 287.9, 3.28, 217.33, 5.22, 44.84, 0, 
48, 1, Thinnning_Pines, 983, 157, 4162, 24993.84, 916, 3246, 0, 0, 1, 67, 23, 66, 0, 8812.45, 14724.09, 0, 0, 4.92, 430.87, 106.03, 186.83, 0, 
49, 1, Thinnning_Pines, 1021, 249, 4305, 30974.7, 979, 3326, 7, 18, 25, 62, 35, 77, 25, 11159.49, 16247.75, 166.63, 352, 164.49, 435.94, 283.9, 189.67, 191.1, 
50, 1, Thinnning_Pines, 985, 132, 4030, 22291.68, 907, 3123, 0, 1, 16, 36, 25, 36, 18, 6532.91, 13231.07, 0, 1.43, 283.62, 158.04, 140.96, 325.62, 354.18, 
