Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
1, 1, Thinnning_Pines, 1016, 209, 6182, 37744.27, 629, 5553, 1, 10, 0, 176, 11, 10, 1, 1642.64, 35397.29, 22.54, 194.48, 0, 67.51, 25, 42.53, 0.11, 
1, 1, Clearcut_Slash, 107, 978, 0, 25975.52, 368, 55, 0, 463, 4, 0, 2, 86, 0, 4039.31, 204.85, 0, 8090.14, 26.72, 0, 7.2, 619.54, 0, 
2, 1, Thinnning_Pines, 988, 140, 5814, 21340.51, 629, 5185, 3, 0, 14, 82, 14, 18, 9, 1262.7, 19520.27, 8.85, 0, 84, 59.63, 29.56, 37.07, 59.66, 
2, 1, Clearcut_Slash, 124, 1136, 0, 35256.68, 615, 0, 0, 372, 0, 0, 0, 149, 0, 7288.38, 0, 0, 9320.45, 0, 0, 0, 1019.51, 0, 
3, 1, Thinnning_Pines, 985, 68, 5983, 13312.6, 749, 5234, 5, 5, 1, 19, 10, 19, 9, 1057.33, 12133.97, 2.45, 1.94, 0.72, 14.64, 7.76, 25.03, 8.11, 
3, 1, Clearcut_Slash, 114, 1045, 0, 33488.02, 565, 1, 0, 339, 1, 0, 0, 139, 0, 7141.5, 1.61, 0, 8675.32999999999, 0.53, 0, 0, 925.039999999999, 0, 
4, 1, Thinnning_Pines, 983, 80, 6301, 12165.98, 786, 5515, 0, 2, 3, 54, 8, 8, 5, 979.41, 11033.69, 0, 0.72, 2.15, 56.38, 7.44, 5.97, 3.78, 
4, 1, Clearcut_Slash, 111, 986, 0, 32796.96, 527, 12, 0, 320, 0, 1, 1, 125, 0, 7118.81, 117.91, 0, 8320.86000000001, 0, 2.26, 1.73, 836.910000000001, 0, 
5, 1, Thinnning_Pines, 1000, 51, 6673, 10277.9, 851, 5822, 0, 3, 1, 39, 1, 4, 3, 996.35, 9201.19, 0, 1.25, 0.78, 31.74, 0.79, 3.19, 2.43, 
5, 1, Clearcut_Slash, 136, 1218, 0, 40793.5, 616, 65, 3, 393, 1, 6, 0, 134, 0, 8894.17, 864.76, 23.97, 9635.93, 0.51, 9.99, 0, 967.42, 0, 
6, 1, Thinnning_Pines, 1050, 61, 7111, 21209.7, 1057, 6054, 0, 2, 3, 40, 6, 9, 1, 2316.75, 18608.91, 0, 0.79, 3.08, 46.93, 25.05, 64.28, 1.89, 
6, 1, Clearcut_Slash, 203, 1748, 0, 55608.98, 753, 90, 0, 676, 2, 0, 21, 175, 31, 11410.71, 644.53, 0, 14393.57, 2.63, 0, 80.23, 1089.07, 183.75, 
7, 1, Thinnning_Pines, 1015, 120, 6919, 20625.8, 803, 6116, 0, 0, 12, 68, 10, 16, 14, 1411.38, 18675.14, 0, 0, 44.04, 88.7, 16.94, 44.37, 75.59, 
7, 1, Clearcut_Slash, 106, 899, 0, 32662.12, 481, 8, 0, 299, 1, 0, 1, 109, 0, 7647.73, 167.45, 0, 7806.20000000001, 3, 0, 9.22, 697.46, 0, 
8, 1, Thinnning_Pines, 1012, 143, 6953, 17999.51, 851, 6102, 0, 3, 18, 62, 27, 31, 2, 1892.52, 15309.53, 0, 1.09, 141.51, 58.96, 103.86, 91.84, 1.47, 
8, 1, Clearcut_Slash, 147, 1257, 0, 48143.54, 627, 118, 0, 374, 2, 0, 2, 134, 0, 10687.62, 2214.72, 0, 10213.81, 5.82, 0, 17.97, 931.83, 0, 
9, 1, Thinnning_Pines, 1018, 81, 6934, 26051.12, 740, 6194, 0, 1, 8, 54, 8, 6, 4, 1334.07, 24455.47, 0, 0.45, 10.82, 78.34, 12.45, 6.8, 21.93, 
9, 1, Clearcut_Slash, 285, 2343, 0, 79143.3599999999, 785, 261, 63, 912, 1, 20, 98, 201, 2, 16662.73, 4973.74, 975.67, 15024.87, 11.7, 77.46, 608.93, 1219.35, 17.23, 
10, 1, Thinnning_Pines, 983, 59, 6750, 18208.51, 834, 5916, 0, 5, 5, 23, 12, 9, 5, 2319.3, 15528.15, 0, 17.33, 15.06, 20.83, 27.04, 79.63, 20.64, 
10, 1, Clearcut_Slash, 130, 1085, 0, 43180.94, 563, 71, 0, 321, 0, 14, 0, 114, 2, 10922.41, 1007.95, 0, 8851.04, 0, 38.06, 0, 753.09, 17.92, 
11, 1, Thinnning_Pines, 1046, 174, 6918, 33181.21, 1073, 5845, 0, 2, 24, 61, 32, 24, 31, 4747.5, 26984.03, 0, 57.83, 86.42, 103.99, 161.94, 107, 207.66, 
11, 1, Clearcut_Slash, 157, 1287, 0, 52351.96, 652, 97, 0, 363, 0, 16, 16, 143, 0, 13224.95, 1616.87, 0, 10114.71, 0, 56.39, 118.41, 1044.65, 0, 
12, 1, Thinnning_Pines, 1002, 77, 6382, 24134.22, 855, 5527, 0, 1, 5, 61, 8, 1, 1, 2174.75, 21711.61, 0, 0.45, 2.92, 112.57, 6.29, 0.91, 0.79, 
12, 1, Clearcut_Slash, 217, 1664, 0, 68131.08, 644, 136, 20, 672, 4, 1, 31, 143, 13, 14225.86, 3541.96, 392.94, 14666.03, 21.01, 4.3, 194.39, 936.89, 82.16, 
