Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
1, 1, Thinnning_Pines, 900, 11, 96, 1010, 30, 30, 1508.4, 50.28, 174, 0, 18, 156, 0, 0, 0, 0, 0, 0, 0, 23.94, 1484.46, 0, 0, 0, 0, 0, 0, 0, 
1, 1, Thinnning_Pines, 903, 35, 93, 851, 36, 36, 1940.95, 53.92, 190, 0, 29, 161, 0, 0, 0, 0, 0, 0, 0, 44.29, 1896.66, 0, 0, 0, 0, 0, 0, 0, 
1, 1, Thinnning_Pines, 1235, 33, 98, 856, 57, 48, 1821.12, 37.94, 232, 8, 0, 232, 0, 0, 0, 8, 0, 0, 0, 0, 1819.84, 0, 0, 0, 0.64, 0, 0, 0, 
1, 1, Thinnning_Pines, 218, 19, 93, 911, 30, 30, 1132.03, 37.73, 187, 0, 47, 140, 0, 0, 0, 0, 0, 0, 0, 587.45, 544.58, 0, 0, 0, 0, 0, 0, 0, 
1, 1, Thinnning_Pines, 1117, 31, 93, 860, 29, 28, 1013.7, 36.2, 161, 6, 0, 161, 0, 0, 0, 6, 0, 0, 0, 0, 1012.26, 0, 0, 0, 0.72, 0, 0, 0, 
1, 1, Thinnning_Pines, 1149, 29, 90, 871, 33, 32, 892.68, 27.9, 197, 0, 10, 187, 0, 0, 0, 0, 0, 0, 0, 10.2, 882.48, 0, 0, 0, 0, 0, 0, 0, 
1, 1, Thinnning_Pines, 570, 27, 94, 882, 19, 19, 526.58, 27.71, 116, 0, 4, 112, 0, 0, 0, 0, 0, 0, 0, 4.08, 522.5, 0, 0, 0, 0, 0, 0, 0, 
1, 1, Thinnning_Pines, 787, 20, 85, 904, 23, 22, 647.13, 29.42, 140, 10, 23, 117, 0, 0, 0, 5, 3, 2, 0, 40.98, 573.89, 0, 0, 0, 8.15, 0.73, 7.25, 0, 
1, 1, Thinnning_Pines, 302, 34, 88, 855, 64, 59, 2661.37, 45.11, 363, 46, 31, 332, 0, 0, 0, 46, 0, 0, 0, 37.08, 2606.91, 0, 0, 0, 8.69, 0, 0, 0, 
1, 1, Thinnning_Pines, 1181, 1, 100, 1302, 41, 33, 992.97, 30.09, 231, 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 992.97, 0, 0, 0, 0, 0, 0, 0, 
1, 1, Thinnning_Pines, 994, 4, 100, 1255, 33, 26, 782.34, 30.09, 182, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 782.34, 0, 0, 0, 0, 0, 0, 0, 
2, 1, Clearcut_Slash, 34, 45, 121, 2730, 25, 25, 7063.36, 282.53, 0, 226, 120, 0, 0, 75, 0, 0, 0, 31, 0, 1454.54, 0, 0, 1877.09, 0, 0, 0, 200.05, 0, 
2, 1, Clearcut_Slash, 37, 44, 121, 2730, 16, 16, 4547.2, 284.2, 0, 147, 80, 0, 0, 48, 0, 0, 0, 19, 0, 940.76, 0, 0, 1200.44, 0, 0, 0, 132.4, 0, 
2, 1, Clearcut_Slash, 338, 56, 121, 2730, 31, 31, 8828.12, 284.78, 0, 285, 155, 0, 0, 93, 0, 0, 0, 37, 0, 1826.66, 0, 0, 2330.77, 0, 0, 0, 256.63, 0, 
2, 1, Thinnning_Pines, 71, 59, 82, 899, 19, 16, 295.13, 18.45, 94, 4, 0, 94, 0, 0, 0, 4, 0, 0, 0, 0, 289.17, 0, 0, 0, 2.98, 0, 0, 0, 
2, 1, Clearcut_Slash, 77, 42, 121, 2730, 22, 22, 6254.32, 284.29, 0, 199, 110, 0, 0, 66, 0, 0, 0, 23, 0, 1294.32, 0, 0, 1652.54, 0, 0, 0, 180.3, 0, 
2, 1, Clearcut_Slash, 86, 39, 121, 2730, 10, 10, 2851.04, 285.1, 0, 95, 50, 0, 0, 30, 0, 0, 0, 15, 0, 589.26, 0, 0, 751.78, 0, 0, 0, 84.48, 0, 
2, 1, Clearcut_Slash, 102, 43, 121, 2730, 20, 20, 5712.64, 285.63, 0, 184, 100, 0, 0, 60, 0, 0, 0, 24, 0, 1182.84, 0, 0, 1507.83, 0, 0, 0, 165.65, 0, 
2, 1, Thinnning_Pines, 107, 66, 93, 870, 28, 24, 435.94, 18.16, 134, 1, 25, 109, 0, 0, 0, 1, 0, 0, 0, 22.01, 412.51, 0, 0, 0, 0.71, 0, 0, 0, 
2, 1, Thinnning_Pines, 685, 47, 97, 1004, 33, 33, 846.32, 25.65, 197, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 846.32, 0, 0, 0, 0, 0, 0, 0, 
2, 1, Thinnning_Pines, 403, 38, 94, 1141, 38, 35, 554.94, 15.86, 217, 4, 16, 201, 0, 0, 0, 0, 2, 1, 1, 64.72, 484.34, 0, 0, 0, 0, 1.49, 0.75, 0.7, 
2, 1, Thinnning_Pines, 321, 52, 90, 927, 24, 24, 469.39, 19.56, 168, 0, 26, 142, 0, 0, 0, 0, 0, 0, 0, 49.47, 419.92, 0, 0, 0, 0, 0, 0, 0, 
2, 1, Thinnning_Pines, 167, 65, 92, 871, 21, 21, 531.88, 25.33, 132, 6, 2, 130, 0, 0, 0, 6, 0, 0, 0, 4.5, 518.86, 0, 0, 0, 4.26, 0, 0, 0, 
2, 1, Thinnning_Pines, 1327, 50, 83, 942, 10, 10, 128.6, 12.86, 54, 0, 6, 48, 0, 0, 0, 0, 0, 0, 0, 18.58, 110.02, 0, 0, 0, 0, 0, 0, 0, 
