Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
1, 1, Thinnning_Pines, 71, 25, 82, 887, 19, 13, 502.29, 38.64, 91, 6, 0, 91, 0, 0, 0, 6, 0, 0, 0, 0, 499.34, 0, 0, 0, 2.95, 0, 0, 0, 
1, 1, Clearcut_Slash, 77, 29, 120, 2700, 22, 22, 4583.02, 208.32, 0, 198, 110, 0, 0, 66, 0, 0, 0, 22, 0, 456.32, 0, 0, 4106.16, 0, 0, 0, 20.54, 0, 
1, 1, Clearcut_Slash, 93, 11, 120, 2700, 20, 20, 4170.5, 208.53, 0, 180, 100, 0, 0, 60, 0, 0, 0, 20, 0, 417.58, 0, 0, 3733.71, 0, 0, 0, 19.21, 0, 
1, 1, Clearcut_Slash, 104, 6, 97, 2706, 48, 39, 8196.1, 210.16, 0, 372, 156, 15, 0, 170, 0, 0, 0, 31, 0, 905.42, 328.52, 0, 6932.56, 0, 0, 0, 29.6, 0, 
1, 1, Thinnning_Pines, 107, 31, 92, 864, 28, 24, 1630.22, 67.93, 144, 1, 26, 118, 0, 0, 0, 1, 0, 0, 0, 277.79, 1351.73, 0, 0, 0, 0.7, 0, 0, 0, 
1, 1, Clearcut_Slash, 122, 21, 120, 2700, 7, 7, 1422.31, 203.19, 0, 63, 35, 0, 0, 21, 0, 0, 0, 7, 0, 144.89, 0, 0, 1270.38, 0, 0, 0, 7.04, 0, 
1, 1, Clearcut_Slash, 1276, 2, 98, 3840, 10, 9, 1860.31, 206.7, 0, 92, 16, 11, 0, 61, 0, 0, 2, 2, 0, 235.8, 261.72, 0, 1359.58, 0, 0, 1.27, 1.94, 0, 
1, 1, Clearcut_Slash, 686, 4, 75, 2954, 26, 25, 3907.47, 156.3, 0, 204, 31, 27, 0, 122, 4, 0, 0, 20, 0, 293.4, 93.35, 0, 2656.7, 385.44, 0, 0, 478.58, 0, 
1, 1, Thinnning_Pines, 685, 13, 96, 989, 33, 33, 2138.33, 64.8, 191, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 2138.33, 0, 0, 0, 0, 0, 0, 0, 
1, 1, Thinnning_Pines, 403, 8, 97, 1138, 32, 28, 678.08, 24.22, 180, 8, 13, 167, 0, 6, 0, 0, 0, 2, 0, 78.89, 236.23, 0, 360.92, 0, 0, 0, 2.04, 0, 
