Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
1, 1, Thinnning_Pines, 1011, 197, 6280, 61034.93, 626, 5654, 0, 6, 0, 174, 8, 8, 1, 7328.24, 53132.14, 0, 360.92, 0, 108.81, 23.44, 80.91, 0.47, 
1, 1, Clearcut_Slash, 122, 1109, 0, 24139.71, 448, 53, 0, 500, 4, 0, 2, 102, 0, 2453.41, 683.59, 0, 20059.09, 385.44, 0, 1.27, 556.91, 0, 
2, 1, Thinnning_Pines, 1010, 0, 6280, 24160.94, 626, 5654, 0, 0, 0, 0, 0, 0, 0, 2929.14, 21231.8, 0, 0, 0, 0, 0, 0, 0, 
2, 1, Clearcut_Slash, 110, 990, 0, 22716.5, 550, 0, 0, 330, 0, 0, 0, 110, 0, 2296.18, 0, 0, 20311.26, 0, 0, 0, 109.06, 0, 
3, 1, Thinnning_Pines, 1010, 0, 6280, 9643.56, 626, 5654, 0, 0, 0, 0, 0, 0, 0, 1169.42, 8474.14, 0, 0, 0, 0, 0, 0, 0, 
3, 1, Clearcut_Slash, 111, 999, 0, 23146.91, 555, 0, 0, 333, 0, 0, 0, 111, 0, 2349.95, 0, 0, 20684.8, 0, 0, 0, 112.16, 0, 
4, 1, Thinnning_Pines, 1010, 0, 6280, 3831.82, 626, 5654, 0, 0, 0, 0, 0, 0, 0, 465.48, 3366.34, 0, 0, 0, 0, 0, 0, 0, 
4, 1, Clearcut_Slash, 111, 976, 0, 22180.17, 540, 12, 0, 318, 0, 0, 0, 106, 0, 2383.16, 529.57, 0, 19162.36, 0, 0, 0, 105.08, 0, 
5, 1, Thinnning_Pines, 1010, 0, 6278, 1520.96, 626, 5652, 0, 0, 0, 0, 0, 0, 0, 184.68, 1336.28, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Clearcut_Slash, 132, 1180, 0, 27144.48, 616, 61, 3, 381, 0, 0, 0, 119, 0, 3043.61, 903.94, 541.41, 22539.94, 0, 0, 0, 115.58, 0, 
