Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
6, 1, Thinnning_Pines, 1057, 713, 6084, 82864.45, 651, 5433, 2, 2, 81, 268, 91, 163, 106, 7293.02, 73046.35, 1.02, 1.02, 301.55, 134.64, 209.74, 675.68, 1201.43, 
6, 1, Clearcut_Slash, 107, 1040, 0, 15079.12, 312, 97, 0, 429, 6, 0, 26, 124, 46, 4006.38, 120.51, 0, 10769.98, 3.06, 0, 14.24, 107.78, 57.17, 
7, 1, Thinnning_Pines, 1024, 0, 6084, 32113.71, 651, 5433, 0, 0, 0, 0, 0, 0, 0, 2914.64, 29199.07, 0, 0, 0, 0, 0, 0, 0, 
7, 1, Clearcut_Slash, 109, 1132, 0, 21074.77, 552, 16, 0, 345, 4, 0, 7, 194, 14, 3040.79, 177.32, 0, 17660.28, 2.17, 0, 14.14, 166.68, 13.39, 
8, 1, Thinnning_Pines, 1024, 0, 6084, 12823.1, 651, 5433, 0, 0, 0, 0, 0, 0, 0, 1163.54, 11659.56, 0, 0, 0, 0, 0, 0, 0, 
8, 1, Clearcut_Slash, 111, 1098, 0, 20326.8, 547, 20, 0, 353, 2, 0, 4, 172, 0, 2801.94, 818.97, 0, 16573.31, 1.67, 0, 2.64, 128.27, 0, 
9, 1, Thinnning_Pines, 1024, 0, 6084, 5105.02, 651, 5433, 0, 0, 0, 0, 0, 0, 0, 462.89, 4642.13, 0, 0, 0, 0, 0, 0, 0, 
9, 1, Clearcut_Slash, 148, 1543, 0, 29694.47, 718, 146, 0, 444, 2, 3, 0, 230, 0, 3510.3, 3784.75, 0, 22218.79, 2.16, 1.53, 0, 176.94, 0, 
10, 1, Thinnning_Pines, 1024, 0, 6084, 2027.99, 651, 5433, 0, 0, 0, 0, 0, 0, 0, 182.42, 1845.57, 0, 0, 0, 0, 0, 0, 0, 
10, 1, Clearcut_Slash, 288, 2841, 0, 55275.63, 892, 317, 62, 1021, 2, 39, 142, 352, 14, 26221.49, 7996.63000000001, 282.39, 19097.92, 27.85, 20.42, 277.29, 1320.75, 30.89, 
11, 1, Thinnning_Pines, 1019, 941, 6393, 69341.33, 1083, 5310, 4, 6, 98, 406, 125, 207, 95, 9831.56, 57276.67, 160.26, 28.07, 450.84, 210.53, 193.74, 860.83, 328.83, 
11, 1, Clearcut_Slash, 132, 1527, 0, 24700.24, 693, 90, 0, 427, 5, 13, 0, 295, 4, 4846.67, 937.13, 0, 18628.29, 2.56, 6.75, 0, 226.77, 52.07, 
12, 1, Thinnning_Pines, 1019, 0, 6393, 26820.7, 1083, 5310, 0, 0, 0, 0, 0, 0, 0, 3929.28, 22891.42, 0, 0, 0, 0, 0, 0, 0, 
12, 1, Clearcut_Slash, 163, 1929, 0, 29604.95, 837, 143, 1, 492, 0, 32, 47, 360, 17, 6227.1, 1215.5, 1.27, 21400.64, 0, 17.54, 102.26, 632.090000000001, 8.55, 
13, 1, Thinnning_Pines, 1019, 0, 6393, 10703.86, 1083, 5310, 0, 0, 0, 0, 0, 0, 0, 1567.57, 9136.29, 0, 0, 0, 0, 0, 0, 0, 
13, 1, Clearcut_Slash, 266, 2650, 0, 37275.02, 906, 225, 37, 883, 22, 6, 76, 442, 53, 7014.89, 2594.65, 265.88, 25722.9, 26.14, 4.01, 596.99, 453.82, 595.74, 
14, 1, Thinnning_Pines, 1019, 0, 6297, 4260.96, 1083, 5214, 0, 0, 0, 0, 0, 0, 0, 623.7, 3637.26, 0, 0, 0, 0, 0, 0, 0, 
14, 1, Clearcut_Slash, 175, 2047, 0, 33609.01, 845, 225, 0, 519, 13, 57, 1, 377, 10, 6222.59, 6250.63, 0, 20695.85, 8.04, 30.02, 0.51, 298.11, 103.26, 
15, 1, Thinnning_Pines, 1019, 0, 6149, 1693.31, 1083, 5066, 0, 0, 0, 0, 0, 0, 0, 247.52, 1445.79, 0, 0, 0, 0, 0, 0, 0, 
15, 1, Clearcut_Slash, 154, 1707, 0, 24177.82, 721, 112, 19, 485, 6, 4, 10, 350, 0, 5033.43, 1403.97, 103.52, 17387.55, 3.17, 2.17, 4.62, 239.39, 0, 
16, 1, Thinnning_Pines, 1020, 1215, 7020, 74869.5, 437, 6583, 0, 0, 39, 962, 22, 165, 27, 4415.87, 69662.3, 0, 0, 21.59, 481.51, 17.07, 240.58, 30.58, 
16, 1, Clearcut_Slash, 239, 3242, 0, 37167.46, 948, 338, 0, 910, 24, 7, 175, 677, 163, 18158.86, 4865.64, 0, 12037.33, 68.43, 3.67, 216.55, 868.63, 948.35, 
17, 1, Thinnning_Pines, 1019, 0, 7015, 29605.08, 437, 6578, 0, 0, 0, 0, 0, 0, 0, 1764.67, 27840.41, 0, 0, 0, 0, 0, 0, 0, 
17, 1, Clearcut_Slash, 144, 2046, 0, 33540.02, 940, 28, 0, 433, 109, 0, 96, 430, 10, 16705.06, 19.3, 0, 16403.74, 76.33, 0, 44.52, 286.22, 4.85, 
18, 1, Thinnning_Pines, 1019, 0, 7009, 11817.85, 437, 6572, 0, 0, 0, 0, 0, 0, 0, 704.48, 11113.37, 0, 0, 0, 0, 0, 0, 0, 
18, 1, Clearcut_Slash, 234, 3043, 0, 47512, 1322, 125, 0, 728, 198, 0, 54, 616, 0, 19756.5, 2082.37, 0, 25090.63, 139.32, 0, 27.22, 415.96, 0, 
19, 1, Thinnning_Pines, 1018, 0, 6610, 4706.72, 424, 6186, 0, 0, 0, 0, 0, 0, 0, 280.51, 4426.21, 0, 0, 0, 0, 0, 0, 0, 
19, 1, Clearcut_Slash, 202, 2414, 0, 27497.12, 845, 266, 0, 698, 16, 37, 21, 498, 33, 8717.3, 3107.35, 0, 15188.84, 9.63, 33.72, 11.69, 390.09, 38.5, 
20, 1, Thinnning_Pines, 1017, 0, 6184, 1870.58, 402, 5782, 0, 0, 0, 0, 0, 0, 0, 111.74, 1758.84, 0, 0, 0, 0, 0, 0, 0, 
20, 1, Clearcut_Slash, 145, 1935, 0, 31528.44, 638, 46, 0, 396, 172, 0, 47, 583, 53, 7146.8, 599.41, 0, 13266.04, 4821.84, 0, 27.06, 5629.65, 37.64, 
21, 1, Thinnning_Pines, 998, 1753, 7090, 99531.24, 575, 6515, 0, 0, 138, 978, 113, 447, 77, 8370.49, 89790.16, 0, 0, 185.61, 487.58, 74.06, 355.57, 267.77, 
22, 1, Thinnning_Pines, 997, 0, 7090, 39237.18, 575, 6515, 0, 0, 0, 0, 0, 0, 0, 3346.09, 35891.09, 0, 0, 0, 0, 0, 0, 0, 
23, 1, Thinnning_Pines, 997, 0, 7090, 15663.88, 575, 6515, 0, 0, 0, 0, 0, 0, 0, 1336.62, 14327.26, 0, 0, 0, 0, 0, 0, 0, 
24, 1, Thinnning_Pines, 997, 0, 7086, 6247.13, 575, 6511, 0, 0, 0, 0, 0, 0, 0, 533.11, 5714.02, 0, 0, 0, 0, 0, 0, 0, 
25, 1, Thinnning_Pines, 997, 0, 7078, 2488, 575, 6503, 0, 0, 0, 0, 0, 0, 0, 212.59, 2275.41, 0, 0, 0, 0, 0, 0, 0, 
26, 1, Thinnning_Pines, 997, 2363, 7411, 79829.63, 1587, 5824, 10, 20, 169, 1146, 105, 725, 188, 16191.49, 61414.65, 54.9, 10.84, 302.43, 607.93, 78.06, 798.34, 370.99, 
27, 1, Thinnning_Pines, 997, 0, 7411, 31014.78, 1587, 5824, 0, 0, 0, 0, 0, 0, 0, 6471.12, 24543.66, 0, 0, 0, 0, 0, 0, 0, 
28, 1, Thinnning_Pines, 997, 0, 7411, 12372.78, 1587, 5824, 0, 0, 0, 0, 0, 0, 0, 2582.94, 9789.84, 0, 0, 0, 0, 0, 0, 0, 
29, 1, Thinnning_Pines, 997, 0, 7411, 4931.13, 1587, 5824, 0, 0, 0, 0, 0, 0, 0, 1028.42, 3902.71, 0, 0, 0, 0, 0, 0, 0, 
30, 1, Thinnning_Pines, 997, 0, 7411, 1961.58, 1587, 5824, 0, 0, 0, 0, 0, 0, 0, 409.25, 1552.33, 0, 0, 0, 0, 0, 0, 0, 
31, 1, Thinnning_Pines, 985, 2169, 8265, 64607.05, 2202, 6063, 13, 0, 158, 632, 195, 896, 275, 18838.32, 42530.28, 144.72, 0, 349.91, 404.04, 127.52, 1384.6, 827.66, 
32, 1, Thinnning_Pines, 1024, 84, 8749, 29464.32, 2384, 6365, 0, 0, 1, 83, 0, 0, 0, 8662.79, 20745.53, 0, 0, 0.56, 55.44, 0, 0, 0, 
33, 1, Thinnning_Pines, 1024, 0, 8741, 11728.53, 2384, 6357, 0, 0, 0, 0, 0, 0, 0, 3456.26, 8272.27, 0, 0, 0, 0, 0, 0, 0, 
34, 1, Thinnning_Pines, 1020, 0, 8260, 4668.88, 2350, 5910, 0, 0, 0, 0, 0, 0, 0, 1374.98, 3293.9, 0, 0, 0, 0, 0, 0, 0, 
35, 1, Thinnning_Pines, 1019, 0, 7884, 1851.49, 2255, 5629, 0, 0, 0, 0, 0, 0, 0, 544.43, 1307.06, 0, 0, 0, 0, 0, 0, 0, 
36, 1, Thinnning_Pines, 983, 3227, 8839, 48414.1, 2833, 6006, 4, 44, 229, 760, 281, 1480, 429, 15477.09, 28128.24, 167.77, 79.3, 222.23, 431.75, 209.3, 2172.29, 1526.13, 
37, 1, Thinnning_Pines, 981, 0, 8817, 17409.81, 2831, 5986, 0, 0, 0, 0, 0, 0, 0, 6180.1, 11229.71, 0, 0, 0, 0, 0, 0, 0, 
38, 1, Thinnning_Pines, 981, 0, 8794, 6930.71, 2831, 5963, 0, 0, 0, 0, 0, 0, 0, 2462.68, 4468.03, 0, 0, 0, 0, 0, 0, 0, 
39, 1, Thinnning_Pines, 987, 7, 8433, 3142.18, 2852, 5581, 0, 0, 0, 0, 0, 7, 0, 1223.66, 1914.72, 0, 0, 0, 0, 0, 3.8, 0, 
40, 1, Thinnning_Pines, 985, 0, 7989, 1239.87, 2685, 5304, 0, 0, 0, 0, 0, 0, 0, 482.59, 757.28, 0, 0, 0, 0, 0, 0, 0, 
41, 1, Thinnning_Pines, 984, 5007, 9242, 48920.79, 3014, 6228, 11, 0, 320, 1422, 338, 2244, 672, 17936.47, 24808.74, 308, 0, 498.42, 859.19, 257.71, 3333.64, 918.62, 
42, 1, Thinnning_Pines, 982, 0, 9214, 17065.19, 3014, 6200, 0, 0, 0, 0, 0, 0, 0, 7163.29, 9901.9, 0, 0, 0, 0, 0, 0, 0, 
43, 1, Thinnning_Pines, 982, 0, 9189, 6792.23, 3010, 6179, 0, 0, 0, 0, 0, 0, 0, 2855.4, 3936.83, 0, 0, 0, 0, 0, 0, 0, 
44, 1, Thinnning_Pines, 989, 89, 8567, 3752.12, 2963, 5604, 0, 0, 1, 51, 0, 37, 0, 1263.82, 2437.73, 0, 0, 0.71, 27.22, 0, 22.64, 0, 
45, 1, Thinnning_Pines, 986, 0, 7894, 1466.34, 2639, 5255, 0, 0, 0, 0, 0, 0, 0, 498.83, 967.51, 0, 0, 0, 0, 0, 0, 0, 
46, 1, Thinnning_Pines, 1019, 6499, 9204, 70247.27, 3741, 5463, 9, 164, 331, 1933, 414, 2924, 724, 35780.61, 25574.2, 348.21, 302.81, 368.48, 1539.9, 415.87, 3544.15, 2373.04, 
47, 1, Thinnning_Pines, 1000, 0, 9204, 24509.19, 3741, 5463, 0, 0, 0, 0, 0, 0, 0, 14298.85, 10210.34, 0, 0, 0, 0, 0, 0, 0, 
48, 1, Thinnning_Pines, 1000, 0, 9204, 9764.89, 3741, 5463, 0, 0, 0, 0, 0, 0, 0, 5707, 4057.89, 0, 0, 0, 0, 0, 0, 0, 
49, 1, Thinnning_Pines, 998, 0, 9144, 3882.89, 3731, 5413, 0, 0, 0, 0, 0, 0, 0, 2271.03, 1611.86, 0, 0, 0, 0, 0, 0, 0, 
50, 1, Thinnning_Pines, 995, 0, 9008, 1539.85, 3672, 5336, 0, 0, 0, 0, 0, 0, 0, 901.34, 638.51, 0, 0, 0, 0, 0, 0, 0, 
