Time,Ecoregion,SoilType,NrOfCohorts,MaxLayerStdev,Layers,PAR0,Tmin(C),Tave(C),Tday(C),Tmax(C),Precip(mm/mo),CO2(ppm),O3(cum_ppb_h,RunOff(mm/mo),Leakage(mm),PET(mm),Evaporation(mm),Transpiration(mm),Interception(mm),PrecLoss(mm/mo),water(mm),PressureHead(mm),SnowPack(mm),LAI(m2),VPD(kPa),GrossPsn(gC_m2_mo),NetPsn(gC_m2_mo),MaintenanceRespiration(gC_mo),Wood(gDW),Root(gDW),Fol(gDW),NSC(gC),HeteroResp(gC_mo),Litter(gDW_m2),CWD(gDW_m2),WoodSenescence(gDW_m2),FoliageSenescence(gDW_m2),SubCanopyPAR,FrostDepth(mm),LeakageFrac(-)
2008,SALO1,SALO,1,34,1,242.6503,-0.732581,5.014767,7.888442,10.76212,43.24937,390,-99,0,29.70126,0,0,0,0,12.97481,188.5732,3,0,0,0.48968,0,0,0.03227041,51,25,0,6.836413,0,0,0.808000028133392,0,0,242.6503,1000,1
2008.083,SALO1,SALO,1,34,1,309.6854,2.053985,9.033519,12.52329,16.01305,87.49725,390,-99,0,61.24809,1.380561,1.380561,0,0,26.24918,187.1927,3,0,0,0.7432621,0,0,0.04289964,51,25,0,6.793512,0,0,0.808000028133392,0,0,309.6854,1000,1
2008.167,SALO1,SALO,1,34,1,427.9477,5.319365,12.11977,15.51997,18.92018,94.35492,390,-99,0,64.47369,9.202476,8.959711,0.2427643,0,28.30648,179.565,3,0,0.0179326,0.8712474,1.474037,1.316273,0.05480655,51,25,1.521813,7.370162,0,0,0.808000028133392,0,0,423.5197,1000,1
2008.25,SALO1,SALO,1,34,1,484.3776,9.717178,15.9354,19.04451,22.15362,130.224,390,-99,0,81.67438,13.16106,12.81559,0.345473,0.2333162,38.99721,175.7231,4,0,0.0179326,0.9985156,1.830308,1.629702,0.07355483,51,25,1.521813,8.926306,0,0,0.808000028133392,0,0,479.3657,1000,1
2008.333,SALO1,SALO,1,34,1,570.7784,13.28783,20.06555,23.4544,26.84326,68.88806,390,-99,0,34.77318,19.26854,18.69974,0.5687942,0.1234235,20.62939,169.8167,4,0,0.0179326,1.361226,2.210496,1.943378,0.1006025,51,25,1.521813,10.76908,0,0,0.808000028133392,0,0,564.8725,1000,1
2008.417,SALO1,SALO,1,34,1,632.1385,20.37228,26.77989,29.98369,33.18749,70.42622,390,-99,0,29.93991,23.7609,23.02752,0.7333776,0.1261793,21.09001,165.3258,5,0,0.0179326,1.846148,2.101483,1.750239,0.1526466,51,25,1.521813,12.36667,0,0,0.808000028133392,0,0,625.5977,1000,1
2008.5,SALO1,SALO,1,34,1,601.5918,20.26148,26.04866,28.94224,31.83583,158.0644,390,-99,0,86.58168,21.59425,20.90796,0.6862968,0.2831966,47.33437,167.5967,5,0,0.0179326,1.615724,2.247035,1.893541,0.1524288,51,25,1.521813,14.10779,0,0,0.808000028133392,0,0,595.3671,1000,1
2008.583,SALO1,SALO,1,34,1,539.7061,19.89562,25.30672,28.01226,30.71781,167.5434,390,-99,0,95.61583,17.24948,16.65228,0.5971957,0.3001797,50.17298,171.8016,4,0,0.0179326,1.459234,2.164994,1.821478,0.1419841,51,25,1.521813,15.78728,0,0,0.808000028133392,0,0,534.1216,1000,1
2008.667,SALO1,SALO,1,34,1,399.7075,17.40167,22.15544,24.53233,26.90921,238.1141,390,-99,0,149.2586,7.443335,7.053396,0.3899382,0.4266177,71.30624,181.4809,3,0,0.0179326,1.092861,1.887539,1.598906,0.1116272,51,25,1.521813,17.27457,0,0,0.808000028133392,0,0,395.5716,1000,1
2008.75,SALO1,SALO,1,34,1,376.281,7.999396,14.81745,18.22647,21.63549,32.76649,390,-99,0,15.56856,5.739372,5.446227,0.2931454,0.05870617,9.812335,183.0685,3,0,0.0179326,1.020735,1.519269,1.327204,0.06492273,51,25,1.521813,18.53684,0,0,0.808000028133392,0,0,372.3876,1000,1
2008.833,SALO1,SALO,1,34,1,260.205,2.731422,9.21212,12.45247,15.69282,105.572,390,-99,0,68.26315,0,0,0,0.1891484,31.61487,188.5732,3,0,0,0.7014577,0,0,0.04284222,51,25,0,18.49401,0,1.52181315422058,0.808000028133392,0,1,260.205,1000,1
2008.917,SALO1,SALO,1,34,1,201.6783,2.804395,8.743269,11.71271,14.68214,69.97529,390,-99,0,48.9827,0,0,0,0,20.99259,188.5732,3,0,0,0.628848,0,0,0.04108673,51,25,0,18.45292,0,1.52181315422058,0.808000028133392,0,1,201.6783,1000,1
2009,SALO1,SALO,2,34,1,224.3089,-0.6918491,4.68653,7.37572,10.06491,43.60653,390,-99,0,30.5246,0,0,0,0,13.08196,188.5732,3,0,0,0.4510962,0,0,0.06308109,109,53,0,13.61229,1,1,1.61600005626678,0,1,224.3089,1000,1
2009.083,SALO1,SALO,2,34,1,325.7593,0.4829189,7.258707,10.6466,14.0345,70.05885,390,-99,0,49.04128,2.453683,2.453683,0,0,21.01766,186.1196,3,0,0,0.6495363,0,0,0.08132768,109,53,0,13.53096,1,1,1.61600005626678,0,1,325.7593,1000,1
